"offset","runtime","length","value"
"0x11D","0x0200023D","4","5E `"
"0x244","0x02000364","4","@P@*"
"0x292","0x020003B2","8","h A$B!C!"
"0x2C2","0x020003E2","4","#`C`"
"0x2E4","0x02000404","4","B`""`"
"0x300","0x02000420","11","pdpcpbpa@$W"
"0x351","0x02000471","4","fA 3"
"0x3A7","0x020004C7","4","bG R"
"0x3C5","0x020004E5","4","#G%R"
"0x3CB","0x020004EB","4","+G&R"
"0x3D5","0x020004F5","4","aG R"
"0x3F3","0x02000513","4","#G%R"
"0x3F9","0x02000519","4","+G&R"
"0x402","0x02000522","8","R`RcRaRb"
"0x40E","0x0200052E","10","bbbcb`babd"
"0x41D","0x0200053D","4","`G R"
"0x43B","0x0200055B","4","#G%R"
"0x441","0x02000561","4","+G&R"
"0x447","0x02000567","4","3G(2"
"0x53E","0x0200065E","6","@$A!B#"
"0x54A","0x0200066A","8","@$A%B!C!"
"0x558","0x02000678","8","@$A B!C!"
"0x5E7","0x02000707","5","D+b%i"
"0x605","0x02000725","4","`OAp"
"0x6EA","0x0200080A","4"," Ph@"
"0x72E","0x0200084E","4","PcQa"
"0x76D","0x0200088D","4","cQfA"
"0x8C2","0x020009E2","4",">PXB"
"0x8DA","0x020009FA","4","!YI "
"0x8E3","0x02000A03","11"," @""A#j C F"""
"0x932","0x02000A52","6","@#A""B<"
"0x975","0x02000A95","6","T@$A""B"
"0x982","0x02000AA2","6","@!A!B!"
"0x9BA","0x02000ADA","4","Zcf`"
"0x9E0","0x02000B00","4","A!B3"
"0xA6C","0x02000B8C","4","@+A"""
"0xA85","0x02000BA5","5","CA!B#"
"0xA96","0x02000BB6","5","yjA""0"
"0xABA","0x02000BDA","7","U6@;A""B"
"0xAEA","0x02000C0A","4",">PC "
"0xAFD","0x02000C1D","8","C@9A#B C"
"0xB45","0x02000C65","4","DXBP"
"0xB5F","0x02000C7F","4","RXBP"
"0xBB5","0x02000CD5","7"," @9A#D#"
"0xBEB","0x02000D0B","7"," @9A#D#"
"0xC0C","0x02000D2C","4","@%A!"
"0xC56","0x02000D76","4","|?6S"
"0xC6E","0x02000D8E","6","F#G D%"
"0xE79","0x02000F99","5","aE!G&"
"0xE8D","0x02000FAD","4","5$`6"
"0xEDA","0x02000FFA","4",">@HB"
"0xEEA","0x0200100A","4","@<A"""
"0xF45","0x02001065","7","!@:A%[$"
"0xF69","0x02001089","4","_Y3P"
"0xF81","0x020010A1","8","!@:A%[2R"
"0xFED","0x0200110D","4","%E O"
"0x1217","0x02001337","4","_Y3P"
"0x122F","0x0200134F","8","!@:A%[2R"
"0x1242","0x02001362","4","@!B!"
"0x130E","0x0200142E","4","!@J!"
"0x132C","0x0200144C","4","@+A"""
"0x13BD","0x020014DD","4","Uva`"
"0x13EC","0x0200150C","4","A!b1"
"0x155C","0x0200167C","4","HDIC"
"0x1654","0x02001774","4","A!b "
"0x16E7","0x02001807","5","DKBIA"
"0x1754","0x02001874","7","@!A'{?Q"
"0x176A","0x0200188A","9","@<A'C D Q"
"0x1789","0x020018A9","4","-$`a"
"0x17C7","0x020018E7","4","c#`3"
"0x17E9","0x02001909","9","@BeBdBcBb"
"0x1823","0x02001943","4","a$`4"
"0x182D","0x0200194D","4"," $`$"
"0x183E","0x0200195E","5","0P$`4"
"0x1861","0x02001981","9","02e2d2c2b"
"0x189C","0x020019BC","4","B A!"
"0x1902","0x02001A22","5","2D3a?"
"0x197C","0x02001A9C","4","R0B "
"0x1B44","0x02001C64","5","A C T"
"0x1BAB","0x02001CCB","4",":G ?"
"0x1CD0","0x02001DF0","4","T@E`"
"0x1DA2","0x02001EC2","5","QmRn?"
"0x1DA8","0x02001EC8","5","!!KE?"
"0x1DD6","0x02001EF6","7","C E @ t"
"0x20B9","0x020021D9","4","Qx??"
"0x2271","0x02002391","4","!D ?"
"0x236B","0x0200248B","4","Hb`R"
"0x2374","0x02002494","5","@`B R"
"0x23CD","0x020024ED","4","`@!R"
"0x23ED","0x0200250D","5"," A G "
"0x23FD","0x0200251D","4","H``P"
"0x2406","0x02002526","5","@`@ R"
"0x245D","0x0200257D","4","Gc`S"
"0x2495","0x020025B5","4","Gc`S"
"0x24BF","0x020025DF","4","Ha`Q"
"0x24C8","0x020025E8","5","@`A R"
"0x252D","0x0200264D","4","Ha`Q"
"0x2536","0x02002656","5","@`A R"
"0x257D","0x0200269D","5","oaora"
"0x2591","0x020026B1","5","nrosc"
"0x259D","0x020026BD","5","o2nud"
