"offset","runtime","length","value"
"0x94356","0x02094476","4","HEID"
"0x9435F","0x0209447F","5","GHGIF"
"0x9436F","0x0209448F","4","@@$R"
"0x94378","0x02094498","4","ICHB"
"0x943C0","0x020944E0","4","HEID"
"0x943C9","0x020944E9","5","CHGIF"
"0x943E9","0x02094509","4","SA R"
"0x94428","0x02094548","5","U:b P"
"0x94457","0x02094577","4","@C""`"
"0x944A3","0x020945C3","5","+2=@$"
"0x94733","0x02094853","4","@@ R"
"0x947A3","0x020948C3","4","%@ R"
"0x947E6","0x02094906","4","H`!j"
"0x9482A","0x0209494A","5","pEed?"
"0x94860","0x02094980","5","pEeg?"
"0x94896","0x020949B6","5","pEej?"
"0x94ADC","0x02094BFC","6","2@Yh@"""
"0x94AFD","0x02094C1D","4","0A R"
"0x94B33","0x02094C53","4"," @ R"
"0x94C35","0x02094D55","4"," A` "
"0x94C6E","0x02094D8E","4","D F "
"0x94CAB","0x02094DCB","4","`!BR"
"0x94D4A","0x02094E6A","5","AaB`)"
"0x9553F","0x0209565F","5","AD""H5"
"0x957B1","0x020958D1","4","OP`R"
"0x957BF","0x020958DF","7","2@/A D "
"0x95805","0x02095925","5","`h/A "
"0x95836","0x02095956","4","PfA "
"0x9594D","0x02095A6D","5","bh/y?"
"0x959AF","0x02095ACF","5","j@.A "
"0x959B8","0x02095AD8","4","@,A "
"0x959C0","0x02095AE0","4","@-A "
"0x959C8","0x02095AE8","4","@/A "
"0x95A15","0x02095B35","5","fp3y?"
"0x95A1E","0x02095B3E","4","p;y?"
"0x95A26","0x02095B46","4","p4y?"
"0x95A2E","0x02095B4E","4","p<y?"
"0x95A36","0x02095B56","4","p5y?"
"0x95A3E","0x02095B5E","4","p=y?"
"0x95A46","0x02095B66","4","p6y?"
"0x95A4E","0x02095B6E","4","p>y?"
"0x95A64","0x02095B84","4","H A "
"0x95A6C","0x02095B8C","4","H3a "
"0x95A74","0x02095B94","4","h/y?"
"0x95A7C","0x02095B9C","4","h.y?"
"0x95A84","0x02095BA4","4","@""y/"
"0x95A8C","0x02095BAC","4","@""Q "
"0x95A94","0x02095BB4","4","`2y?"
"0x95AB4","0x02095BD4","4","h A0"
"0x95AD9","0x02095BF9","5","@B!C!"
"0x95AFD","0x02095C1D","4","KHH0"
"0x95B04","0x02095C24","4","HH0 "
"0x95B09","0x02095C29","4","HHHP"
"0x95B1C","0x02095C3C","4","HH0!"
"0x95B21","0x02095C41","4","HHH0"
"0x95B28","0x02095C48","4","HH0"""
"0x95B36","0x02095C56","4","HH0#"
"0x95BB7","0x02095CD7","4","cA B"
"0x95CD7","0x02095DF7","4","@@""R"
"0x95CE8","0x02095E08","4","[@#I"
"0x95DC7","0x02095EE7","4","`6bf"
"0x95DCF","0x02095EEF","4","b7dw"
"0x96020","0x02096140","5","p`a`h"
"0x96058","0x02096178","4"," Aan"
"0x960F0","0x02096210","4","@3q1"
"0x960F8","0x02096218","4","@4q1"
"0x96100","0x02096220","4","H1Q$"
"0x96108","0x02096228","4","P9Q9"
"0x9616E","0x0209628E","4","P9y>"
"0x96176","0x02096296","4","P9Q "
"0x9617E","0x0209629E","4","P9A0"
"0x961D8","0x020962F8","8","h A$B!C!"
"0x96246","0x02096366","4","@!A("
"0x96268","0x02096388","4","@""y7"
"0x96272","0x02096392","4","@""A("
"0x9627A","0x0209639A","4","@$y>"
"0x96282","0x020963A2","4","@""i?"
"0x9628A","0x020963AA","4","@7A"""
"0x96299","0x020963B9","5","2@7y;"
"0x962A4","0x020963C4","4","@7A$"
"0x962AC","0x020963CC","4","@7I "
"0x962BE","0x020963DE","4","@ I "
"0x962D0","0x020963F0","4","X5q6"
"0x962D8","0x020963F8","4","@1y>"
"0x962E8","0x02096408","4","@ A$"
"0x96391","0x020964B1","5","_@6q;"
"0x963AE","0x020964CE","4","@6I "
"0x963B6","0x020964D6","4","@6I!"
"0x963C4","0x020964E4","10"," `@6A$@6A("
"0x963DE","0x020964FE","6","@&A B#"
"0x96405","0x02096525","5","X@""y/"
"0x96410","0x02096530","4","@6I!"
"0x9641E","0x0209653E","10"," `@6A$@6A("
"0x9642C","0x0209654C","4","@!Y?"
"0x96436","0x02096556","4","@""A0"
"0x964A2","0x020965C2","4","@!Y?"
"0x964DB","0x020965FB","9","`` q?` y/"
"0x9656D","0x0209668D","5","OH4A%"
"0x96579","0x02096699","4","{p`P"
"0x9657E","0x0209669E","5","62p`P"
"0x9658B","0x020966AB","9","AC)@)A B$"
"0x96607","0x02096727","7","1@)A B$"
"0x9661F","0x0209673F","7","0@&A B#"
"0x966AE","0x020967CE","4","@!Y?"
"0x966B6","0x020967D6","4","@7y;"
"0x966C4","0x020967E4","4","@!y7"
"0x966D4","0x020967F4","4","@""y7"
"0x966DE","0x020967FE","4","@""A("
"0x966E6","0x02096806","4","@$A!"
"0x966EE","0x0209680E","4","@""i?"
"0x966F6","0x02096816","4","@1Q "
"0x96706","0x02096826","4","@1y>"
"0x96710","0x02096830","4","@1A!"
"0x96718","0x02096838","4","@7q?"
"0x96725","0x02096845","5","E@""y/"
"0x96730","0x02096850","4","@""A0"
"0x96740","0x02096860","4","@ y;"
"0x9677B","0x0209689B","4","00`P"
"0x967AF","0x020968CF","4","00`P"
"0x967CF","0x020968EF","4","00`P"
"0x9685F","0x0209697F","4","00`P"
"0x9687F","0x0209699F","4","00`P"
"0x9689E","0x020969BE","5","^$I P"
"0x968FF","0x02096A1F","4","AI P"
"0x96949","0x02096A69","5","2@/A "
"0x969E1","0x02096B01","4","!QaF"
"0x96E82","0x02096FA2","5","""3""a?"
"0x96F3D","0x0209705D","4","!4e?"
"0x96F68","0x02097088","5","@`!`?"
"0x96FA9","0x020970C9","4","(`o)"
"0x9722B","0x0209734B","6","$CeEd?"
"0x9723D","0x0209735D","4","/'b?"
"0x97480","0x020975A0","16","flash_powerup_ok"
"0x97530","0x02097650","4","""Ysb"
"0x97561","0x02097681","6","csnuo?"
"0x975E2","0x02097702","5","sltm?"
"0x9765E","0x0209777E","5","sjtk?"
"0x97699","0x020977B9","6","gqirh?"
"0x976F1","0x02097811","4","aqc?"
"0x976F7","0x02097817","4","Irb?"
"0x97726","0x02097846","5","snto?"
"0x97761","0x02097881","4","cqe?"
"0x97767","0x02097887","4","Krd?"
"0x97796","0x020978B6","5","sltm?"
"0x977D1","0x020978F1","4","eqg?"
"0x977D7","0x020978F7","4","Mrf?"
"0x97806","0x02097926","5","sjtk?"
"0x97841","0x02097961","6","gqirh?"
"0x978DC","0x020979FC","4","17&o"
"0x9797B","0x02097A9B","4","h5m?"
"0x97A03","0x02097B23","4","h5k?"
"0x97A8B","0x02097BAB","4","h5i?"
"0x97B13","0x02097C33","4","h5g?"
"0x97B9B","0x02097CBB","4","h5e?"
"0x97BCF","0x02097CEF","4","g""??"
"0x97C1C","0x02097D3C","5","Bx0b?"
"0x97C22","0x02097D42","5","pf7c?"
"0x97C4B","0x02097D6B","5","o a!`"
"0x97CBC","0x02097DDC","5","PT&o?"
"0x97CE2","0x02097E02","4","QD5b"
"0x97D09","0x02097E29","4","cAn?"
"0x97D4C","0x02097E6C","5","PQ&m?"
"0x97D86","0x02097EA6","4","bj5d"
"0x97D97","0x02097EB7","4","eAl?"
"0x97DDA","0x02097EFA","5","PQ&k?"
"0x97E05","0x02097F25","4",":}??"
"0x97E14","0x02097F34","4","bj5f"
"0x97E25","0x02097F45","4","gAj?"
"0x97E68","0x02097F88","5","PQ&i?"
"0x97EA2","0x02097FC2","4","bj5h"
"0x97EB3","0x02097FD3","4","iAh?"
"0x97EF6","0x02098016","5","PQ&g?"
"0x97F21","0x02098041","4","Sx??"
"0x97F30","0x02098050","4","bj5j"
"0x97F41","0x02098061","4","kAf?"
"0x97F84","0x020980A4","5","PQ&e?"
"0x97FBE","0x020980DE","4","bj5l"
"0x97FCF","0x020980EF","4","mAd?"
"0x98012","0x02098132","5","PQ&c?"
"0x9804C","0x0209816C","4","bj5n"
"0x9805D","0x0209817D","4","oAb?"
"0x980E0","0x02098200","4","bjWa"
"0x98135","0x02098255","6","a!n4b?"
"0x9813C","0x0209825C","5","@A&o?"
"0x98142","0x02098262","5","BI7c?"
"0x98167","0x02098287","4","kg??"
"0x98170","0x02098290","4","AGWc"
"0x981C7","0x020982E7","6","o!l4d?"
"0x981CE","0x020982EE","5","@A&m?"
"0x981D4","0x020982F4","5","BI7e?"
"0x98208","0x02098328","4","bjTd"
"0x98255","0x02098375","6","m!j4f?"
"0x9825C","0x0209837C","5","@A&k?"
"0x98262","0x02098382","5","BI7g?"
"0x98296","0x020983B6","4","bjTf"
"0x982E3","0x02098403","6","k!h4h?"
"0x982EA","0x0209840A","5","@A&i?"
"0x982F0","0x02098410","5","BI7i?"
"0x98324","0x02098444","4","bjTh"
"0x98371","0x02098491","6","i!f4j?"
"0x98378","0x02098498","5","@A&g?"
"0x9837E","0x0209849E","5","BI7k?"
"0x983B2","0x020984D2","4","bjTj"
"0x983FF","0x0209851F","6","g!d4l?"
"0x98406","0x02098526","5","@A&e?"
"0x9840C","0x0209852C","5","BI7m?"
"0x98423","0x02098543","4","g""??"
"0x98440","0x02098560","4","bjTl"
"0x9848D","0x020985AD","6","e!b4n?"
"0x98494","0x020985B4","5","@A&c?"
"0x9849A","0x020985BA","5","BI7o?"
"0x984CA","0x020985EA","5","agWo?"
"0x98592","0x020986B2","5","PT&o?"
