"offset","runtime","length","value"
"0x1ABD0","0x0201ACF0","4","O{ &"
"0x1AC68","0x0201AD88","4","C 2X"
"0x1AC96","0x0201ADB6","5","A d}$"
"0x1ADC6","0x0201AEE6","7","B 0_qdP"
"0x1AE0C","0x0201AF2C","6"," 8B #["
"0x1AE18","0x0201AF38","4","B  V"
"0x1AEC6","0x0201AFE6","6","B @!A!"
"0x1AF09","0x0201B029","4","fJNP"
"0x1AF38","0x0201B058","4","iH9 "
"0x1AF73","0x0201B093","4","BQkP"
"0x1AF98","0x0201B0B8","4","$PQb"
"0x1AFA2","0x0201B0C2","4","xB0#"
"0x1AFDC","0x0201B0FC","5","yB{`Q"
"0x1B023","0x0201B143","5","BQiSg"
"0x1B092","0x0201B1B2","8","Bj@kA C "
"0x1B0A0","0x0201B1C0","5","AgBi*"
"0x1B0EC","0x0201B20C","8","Bj@kA C "
"0x1B104","0x0201B224","5","AgBi*"
"0x1B24F","0x0201B36F","4","e0#@"
"0x1B279","0x0201B399","5","}@bA&"
"0x1B38E","0x0201B4AE","4","@#A#"
"0x1B700","0x0201B820","4","%yIj"
"0x1B706","0x0201B826","6","JkKmOl"
"0x1B72C","0x0201B84C","4","NP8 "
"0x1B759","0x0201B879","4","+S1A"
"0x1BA5A","0x0201BB7A","4","hqm`"
"0x1BF0F","0x0201C02F","4","`z`P"
"0x1BFB2","0x0201C0D2","5","A<B @"
"0x1C035","0x0201C155","6","`B C P"
"0x1C096","0x0201C1B6","4","<@A "
"0x1C0A0","0x0201C1C0","4","L@A "
"0x1C22A","0x0201C34A","4","@lE!"
"0x1C2C9","0x0201C3E9","4","3Jk#"
"0x1C35E","0x0201C47E","7","L@@j#a3"
"0x1C38C","0x0201C4AC","4","@jAl"
"0x1C3A2","0x0201C4C2","5","<@#a3"
"0x1C487","0x0201C5A7","4","nA;@"
"0x1C50A","0x0201C62A","5","B [ A"
"0x1C621","0x0201C741","4","""IkC"
"0x1C64A","0x0201C76A","5","a""Ij!"
"0x1C666","0x0201C786","5","C E `"
"0x1C729","0x0201C849","7","d^b9b8`"
