"target","kinds","source_offsets"
"0x0208ACB2","instruction","0x81468"
"0x0208ACB6","instruction","0x8146C"
"0x0208ACBA","instruction","0x81470"
"0x0208ACBE","instruction","0x81638"
"0x0208ACCC","instruction","0x8163C"
"0x0208ACCE","instruction","0x8164C"
"0x0208ACD4","instruction","0x81650"
"0x0208AF08","instruction","0x8B624"
"0x0208AF6C","instruction","0x8CC78"
"0x0208C648","instruction","0x8B6E8"
"0x0208C67E","instruction","0x8B68E"
"0x0208C8FC","instruction","0x8B0BC"
"0x0208CD76","instruction","0x8B0CC"
"0x0208D10C","instruction","0x8CB8C"
"0x0208D116","instruction","0x8D470"
"0x0208D2C8","instruction","0x8D04C"
"0x0208D384","instruction","0x8D026"
"0x0208D560","instruction","0x8D044"
"0x0208D82E","instruction","0x8D13E"
"0x0208DE36","instruction","0x8E188"
"0x0208DE98","instruction","0x8E18C"
"0x0208E040","image","0x20AB4|0x20AC0|0x20D8A|0x20D98|0x210CE|0x211BE|0x214EC|0x2152C|0x2153C|0x3445C|0x360BC"
"0x0208E088","instruction","0x8E180"
"0x0208E0F6","instruction","0x8E184"
"0x0208E102","image","0x38636"
"0x0208E148","instruction","0x8DD96"
"0x0208E188","image","0x8DC7C"
"0x0208E1B0","image","0x3964A|0x6B866|0x6DC4C|0x6DD52|0x72452|0x851AC"
"0x0208E1B1","image","0x7170E"
"0x0208E1B2","instruction","0x820A8"
"0x0208E288","instruction","0x8DDE8"
"0x0208E2B0","instruction","0x8E16C"
"0x0208E850","image","0x1AF86"
"0x0208E857","image","0x7DE98"
"0x0208E866","instruction","0x4608"
"0x0208E8F8","image","0xED76"
"0x0208E9DC","image","0xED86"
"0x0208ECA4","instruction","0x8EE54"
"0x0208EDD8","instruction","0x142FE"
"0x0208EDE8","instruction","0x8EE58"
"0x0208EE42","instruction","0x8EE5C"
"0x0208EE50","instruction","0x829A6|0x84224|0x8561C"
"0x0208EED0","instruction","0x6B35A|0x6B390"
"0x0208EED4","image","0x8ED8C"
"0x0208F040","image","0x20A9E|0x20D6C|0x2108E"
"0x0208F1BB","image","0xE912"
"0x0208F39C","instruction","0x8FDFC"
"0x0208F462","instruction","0x8FEB6"
"0x0208F465","string","0x8F80C|0x8F934|0x8FB18"
"0x0208F472","instruction","0x8F642"
"0x0208F47C","instruction","0x8FC80"
"0x0208F4C4","instruction","0x8F35C"
"0x0208F4D1","string","0x8F374"
"0x0208F4DB","string","0x8F38C"
"0x0208F880","instruction","0xB4F6|0x3FD68|0x49F7A|0x6E8B2|0x760F0|0x834A0|0x8A628|0x8AAEA"
"0x0208F882","image","0x6D052|0x70BA4"
"0x0208F883","image","0xC618"
"0x0208F885","image","0x89C9E"
"0x0208F886","image","0x72742"
"0x0208F887","image","0x2ED1A"
"0x0208FC10","instruction","0x331D2"
"0x0208FD83","image","0x482F6"
"0x0208FD8B","image","0xFC68"
"0x02090000","image","0x4F5E6"
"0x02090362","instruction","0x9027E"
"0x020903CC","instruction","0x903A4"
"0x020904DA","instruction","0x902DE"
"0x020904EE","instruction","0x902E4"
"0x02090506","instruction","0x90210"
"0x0209055E","instruction","0x8F36C"
"0x020905C4","instruction","0x3101A"
"0x020907A4","instruction","0x7026|0x31020"
"0x020907AC","instruction","0x6990|0x7020"
"0x020907BC","image","0x698A|0x7190"
"0x020907C0","instruction","0x69A8|0x718A"
"0x020907C4","instruction","0x69A2|0x703E"
"0x020907C8","image","0x7038|0x46B82"
"0x020907E0","instruction","0x37EC|0x4462|0x3A5A0|0x46B88"
"0x02090834","instruction","0x37F2|0x4468|0x386BC|0x3A5A6"
"0x02090844","instruction","0x695A|0x30E7C|0x386C2"
"0x0209085C","instruction","0x6960|0x30E82|0x38AD8|0x3ED70"
"0x020908BC","instruction","0x38ADE|0x3ED76|0x408CA|0x408F2|0x40B58"
"0x020908F4","instruction","0x408D0|0x408F8|0x40B5E|0x40FD8|0x40FDE|0x41822|0x41828|0x419B6|0x419BC|0x428F6|0x428FC|0x42AEE"
"0x02090914","instruction","0x42AF4|0x42DDC|0x432CA|0x4782C|0x47832|0x481CE|0x481D4|0x4911A|0x49120|0x49682|0x49688|0x4A3DE|0x4A3E4|0x4A6A8|0x4A6AE|0x4BEC4|0x4BECA"
"0x0209095C","instruction","0x42DE2|0x432D0"
"0x02091720","instruction","0x34|0x52|0x17A8"
"0x02094000","image","0x63D54"
"0x02094FFF","image","0x639C4"
"0x02097000","image","0x161E8"
"0x0209E850","instruction","0x72A10"
"0x0209EE50","instruction","0x37C62|0x37EE6"
"0x0209F042","instruction","0x42BE6"
"0x0209F802","instruction","0xF7AA"
"0x0209F805","image","0x951E"
"0x0209F880","instruction","0x3800|0x236DE|0x241D4|0x6D1D6|0x7C2F6|0x8B9AC|0x90BB4"
"0x0209F882","instruction","0x6D018"
"0x0209F883","image","0x86238"
"0x0209F9C0","instruction","0x43E3A"
"0x0209FC00","instruction","0x1C77E"
"0x0209FD81","image","0x4BE8A"
"0x0209FD83","image","0x492F2"
"0x0209FD84","instruction","0xE3B0"
"0x0209FD85","image","0xCCAC"
"0x0209FD86","instruction","0x11FD6|0x2225E|0x250AC"
"0x0209FD89","image","0x24550"
"0x020A0260","instruction","0x92576"
