"target","kinds","source_offsets"
"0x02000120","instruction","0x17B0"
"0x020001B8","instruction","0x66E9A"
"0x020001CC","instruction","0x1750"
"0x02000201","image","0x5BC6A"
"0x020003E8","image","0x974D4"
"0x02000616","instruction","0x1766"
"0x0200062E","instruction","0x6FFC"
"0x02000688","instruction","0x700C"
"0x0200097E","instruction","0x8B178"
"0x02000A2A","image","0x4F4FE"
"0x02000B22","instruction","0x8D07A"
"0x02000D3A","instruction","0x838F2"
"0x02000DAE","instruction","0x4F508"
"0x02000FEE","instruction","0x9D2"
"0x02001388","instruction","0x8D062"
"0x020013DA","instruction","0x8D06A"
"0x02001800","instruction","0x4F53C"
"0x02001B03","image","0x4F554"
"0x020020F0","instruction","0x5C464"
"0x02002D9E","instruction","0x92"
"0x02003100","instruction","0x5CC4E"
"0x02003200","instruction","0x5CC56"
"0x02003D5B","image","0x5D06E"
"0x020044FC","instruction","0x90698"
"0x02004A36","instruction","0x57D8C"
"0x02004F01","image","0x5BBD8"
"0x02005542","instruction","0x54D2"
"0x02006501","image","0x4F536"
"0x02006A2C","instruction","0x30AC"
"0x02007796","instruction","0x9068C"
"0x020077BC","instruction","0x90740"
"0x020077CC","instruction","0x90684"
"0x020077D8","instruction","0x8F3EC"
"0x02007898","instruction","0x8F10"
"0x02007986","instruction","0x77E0"
"0x02008002","instruction","0x77F0"
"0x020080B8","instruction","0x7802"
"0x020082CE","instruction","0x7F2E"
"0x02008506","instruction","0x7F48"
"0x02008B7C","instruction","0x7F70"
"0x02009178","instruction","0x906AC"
"0x02009310","instruction","0x99F4"
"0x020093DE","instruction","0x9366"
"0x02009404","instruction","0x8EF8"
"0x020094DC","instruction","0x9354|0x9764|0x9972"
"0x02009658","instruction","0x937A|0x9998"
"0x020096FC","instruction","0x9420"
"0x020097D6","instruction","0x9776"
"0x020097FC","instruction","0x8EF0"
"0x020098CC","instruction","0x978A|0x99AE"
"0x02009972","instruction","0x9984"
"0x020099A8","instruction","0x8EBA"
"0x02009B22","instruction","0x9050"
"0x02009DC0","instruction","0x9026"
"0x02009DD4","instruction","0x901E"
"0x02009E18","instruction","0x7368"
"0x0200A4DC","instruction","0x4F5F8"
"0x0200B324","instruction","0x4F5FC"
"0x0200C381","image","0x5D3D6"
"0x0200E040","instruction","0xFCC|0x2F936|0x2FC18|0x335CE|0x347A4|0x35766|0x358FC|0x35CB6|0x38464|0x62B86|0x6ECF2|0x8F6D4|0x90048|0x9013E"
"0x0200E041","image","0x21038|0x21060|0x21116|0x3148A|0x43EE0|0x49BBA|0x841B8"
"0x0200E042","instruction","0x2FC2E|0x31C02|0x31E18|0x31EF2|0x31FBC|0x3202A|0x32070|0x3279C|0x32E12|0x3359C|0x34400|0x364FC|0x36608|0x36620|0x36A9A|0x37824|0x3810C|0x38128|0x39F2A|0x43E86|0x6ED06|0x88344|0x8F464|0x8F482|0x8F50C|0x8F994|0x9272A"
"0x0200E043","image","0x43E72"
"0x0200E044","instruction","0x31BF4"
"0x0200E045","image","0x3847C|0x62B9C"
"0x0200E046","instruction","0x2F9B4"
"0x0200E047","image","0x90070|0x90168"
"0x0200E070","image","0x874BA"
"0x0200E100","instruction","0x3A638"
"0x0200E101","image","0x98DA6"
"0x0200E102","instruction","0x3865A"
"0x0200E103","image","0x99F08"
"0x0200E180","image","0x4EF88"
"0x0200E1F4","instruction","0x37C8A|0x39A32|0x49994|0x6E9A4"
"0x0200E53F","image","0x1E4E|0x2242|0x2230A|0x22338|0x265B4|0x265E0|0x26608|0x27F88|0x280D8|0x2820A|0x45C1E|0x45C92"
"0x0200E811","image","0x771A|0x2075A|0x20764|0x2079E|0x207A6|0x207AE|0x2C73E|0x6BACA|0x90498"
"0x0200E842","instruction","0x4F604"
"0x0200E890","instruction","0x3C796|0x62A9A"
"0x0200E891","image","0x2EBE4|0x34276|0x397C8|0x69644|0x820B2|0x83504|0x89458|0x8B848"
"0x0200E893","image","0x36FA4|0x36FAE"
"0x0200E89F","image","0x8FCA4|0x8FCAC"
"0x0200E8F8","instruction","0xF16A|0x1A584|0x1A616|0x1A832"
"0x0200E910","image","0x4E2A8"
"0x0200E911","image","0x47A38"
"0x0200E913","image","0x888C8"
"0x0200E914","instruction","0x35484"
"0x0200E918","instruction","0x378D8"
"0x0200E919","image","0x6EA54"
"0x0200E930","image","0xFC8"
"0x0200E935","image","0x9006C"
"0x0200E936","instruction","0x2F9B0"
"0x0200E937","image","0x90164"
"0x0200EA10","image","0x6E108"
"0x0200EA13","image","0x633A6"
"0x0200EC11","image","0xAC44"
"0x0200EC14","instruction","0x2529A"
"0x0200EC15","image","0x246B4"
"0x0200EC16","instruction","0x23BCC"
"0x0200EC17","image","0x2303E"
"0x0200EC90","instruction","0x8CBBA"
"0x0200EC91","image","0x2F362|0x39E18|0x47A42"
"0x0200EC93","image","0x731CE|0x79F80|0x900B8"
"0x0200EC94","instruction","0x271F0"
"0x0200EC97","image","0x79A46"
"0x0200ED10","image","0x1BF88"
"0x0200ED11","image","0xE206|0x18B42|0x190AE|0x78442"
"0x0200ED13","image","0xABC6|0x1161E|0x11636|0x166BC|0x185D8"
"0x0200ED1D","image","0x10808"
"0x0200ED35","image","0x38478|0x62B98"
"0x0200ED54","instruction","0x6A77E"
"0x0200EE50","instruction","0x6C6E6|0x6C72E|0x6D272|0x6DB12|0x7BC48|0x8A1D6"
"0x0200EE90","instruction","0x16374"
"0x0200EE93","image","0x1164E|0x166CA|0x18DFE"
"0x0200EED8","image","0x1F02A|0x295FC|0x29762"
"0x0200F040","instruction","0x41022"
"0x0200F041","image","0x6ECBA|0x6ED3C"
"0x0200F042","image","0x1E824|0x1E852|0x2E080|0x2F39C|0x31B68|0x342A2|0x346E0|0x351A6|0x36A2C|0x36A3C|0x36A68|0x36A78|0x8F6FA|0x8F83A|0x8FAC0|0x8FDE0|0x8FE7C|0x92708|0x95FFC"
"0x0200F043","image","0x73C6"
"0x0200F435","image","0x8B5C0"
"0x0200F4E4","instruction","0xCAEC|0xD100|0xD87C|0xEB3A"
"0x0200F52E","instruction","0xCAF2|0xD8A4|0xDB2E|0xEB2C"
"0x0200F53F","image","0x9B1E4"
"0x0200F578","instruction","0xCB0A"
"0x0200F586","instruction","0xBC28"
"0x0200F73E","instruction","0xBC30"
"0x0200F784","instruction","0xBC38"
"0x0200FF00","image","0x80A10|0x8F516"
"0x0200FF01","image","0x34EB0|0x8F470|0x8F488|0x8F846|0x8FDEA|0x8FE86"
"0x0200FF0B","image","0x31484"
"0x0200FF41","image","0x43870|0x4387C|0x64C66|0x65116|0x764DE"
"0x0200FF4C","instruction","0x181CC"
"0x0200FF4D","image","0x10654"
"0x0200FFC0","instruction","0x6A646|0x90E7C|0x9176C|0x9181C|0x9189E|0x91AB0|0x95620|0x95770|0x95790"
"0x0200FFC1","image","0x25C|0x4A152|0x91638|0x923B6|0x96144|0x961B0"
"0x0200FFC2","image","0x5DF8|0x3C546|0x69394|0x91A16"
"0x0200FFC3","image","0x69DA6"
"0x0200FFC4","image","0x96998"
"0x0200FFC5","image","0x96222"
"0x0200FFC8","image","0x498CE"
"0x0200FFCA","instruction","0x29CE4|0x49840"
"0x0200FFCF","image","0x49DD4"
"0x02010000","instruction","0x51350|0x54E5C|0x55C48|0x9FF22"
"0x02010010","instruction","0x4FCA0"
"0x02010100","instruction","0x62620"
"0x02010101","image","0x5BBC4|0x5C3D8|0x5C40C"
"0x02010103","image","0x5BE92"
"0x02010104","instruction","0x5BBCE"
"0x02010106","instruction","0x5BB84"
"0x02010200","image","0x5BBDA"
"0x02010201","image","0x62622"
"0x02010224","instruction","0x5C3E6|0x5C41A"
"0x02010301","image","0x5C046"
"0x02010302","instruction","0x62626"
"0x02010402","instruction","0x5BC68"
"0x02010705","image","0x5B892"
"0x02010908","instruction","0x5BB98"
"0x02011654","instruction","0x290A0"
"0x02011BEA","instruction","0x12DC6"
"0x0201208A","instruction","0x130B8"
"0x02012340","instruction","0xE100"
"0x020127EC","instruction","0x2A514"
"0x020128FE","instruction","0x2A51C"
"0x02012AF2","instruction","0x2A524"
"0x02012DD4","instruction","0x2A52C"
"0x02012E06","instruction","0x29028"
"0x02012E5C","instruction","0x12D2C"
"0x02013004","instruction","0x12CF4"
"0x02013B2A","instruction","0x12D34"
"0x02013EAA","instruction","0x58DA2"
"0x02014F58","instruction","0x4F610"
"0x02015022","instruction","0x4F614"
"0x020150EE","instruction","0x4F618"
"0x02015544","instruction","0x12D14"
"0x0201627E","instruction","0x12D0C"
"0x02016722","instruction","0x12D1C"
"0x02016FE2","instruction","0x12D24"
"0x020185FC","instruction","0x12CFC"
"0x02019648","instruction","0x12D04"
"0x02019660","instruction","0x5C0E4"
"0x020196DA","instruction","0x5C0E8"
"0x0201A410","instruction","0x5C0F0"
"0x0201AE82","instruction","0x5C138|0x5C154|0x5C170|0x5C18C|0x5C1A8"
"0x0201AEB6","instruction","0x5C134|0x5C150|0x5C16C|0x5C188|0x5C1A4"
"0x0201B046","instruction","0x2A4AC"
"0x0201B1A8","instruction","0xB908"
"0x0201B202","instruction","0xCB12"
"0x0201B234","instruction","0x1A220|0x1F544"
"0x0201B23E","instruction","0x199B6"
"0x0201B344","instruction","0x5C100"
"0x0201B8CC","instruction","0x5D3CA|0x5D5E6"
"0x0201BD0A","instruction","0x5C10C"
"0x0201C142","instruction","0x4F844"
"0x0201C1B0","instruction","0x4F848"
"0x0201C1CA","instruction","0x4F850"
"0x0201C7EA","instruction","0x1C33C"
"0x0201C7F6","instruction","0x1C346"
"0x0201C802","instruction","0x2922C"
"0x0201C80E","instruction","0x2923E"
"0x0201C83C","instruction","0x4F860"
"0x0201C88E","instruction","0x4F864"
