"target","kinds","source_offsets"
"0x02062412","instruction","0x9CEEC|0x9CF84"
"0x02062417","string","0x5C5F4"
"0x02062420","instruction","0x9CF8C"
"0x02062428","instruction","0x9CF90"
"0x0206242F","string","0x4F9B0"
"0x0206243A","instruction","0x9CF9C"
"0x0206243E","instruction","0x9CFA0"
"0x02062442","instruction","0x4FA08"
"0x02062449","string","0x4FA54"
"0x02062451","string","0x4FAA4|0x9CF18"
"0x02062458","instruction","0x9CFCC"
"0x0206245F","string","0x9CFD0"
"0x02062464","instruction","0x9CF10|0x9CF24|0x9CF3C|0x9CF54|0x9CF6C|0x9CFA8|0x9CFC0|0x9CFD4"
"0x02062467","string","0x4FAF4"
"0x0206246F","string","0x9CF94|0x9CFE0"
"0x02062475","string","0x4FB40"
"0x0206247D","string","0x4FB8C"
"0x02062485","string","0x9CF30|0x9CF48|0x9CF60|0x9CF78|0x9CF98|0x9CFAC|0x9CFB8|0x9CFC8|0x9CFD8|0x9CFE4|0x9CFF0"
"0x0206248B","string","0x4FBD0"
"0x02062498","instruction","0x4FC10"
"0x020624A3","string","0x9CF80|0x9CF88|0x9CFF8|0x9CFFC"
"0x020624A8","instruction","0x9D000"
"0x020624AD","string","0x5C62C"
"0x020624B3","string","0x9D014"
"0x020624B8","instruction","0x5C664"
"0x020624BD","string","0x5C69C"
"0x020624C2","instruction","0x9CF34|0x9CF4C|0x9CF64|0x9CF7C|0x9CFB0|0x9CFBC|0x9CFDC|0x9CFE8|0x9CFF4|0x9D028|0x9D03C"
"0x020624C8","instruction","0x5C6D4"
"0x020624D0","instruction","0x9D048"
"0x020624D5","string","0x9CF1C|0x9D04C"
"0x020624DB","image","0x9D050"
"0x020624DF","string","0x5C70C"
"0x020624E6","instruction","0x9D064"
"0x020624EC","instruction","0x5C744"
"0x020624F2","instruction","0x9D004|0x9D018|0x9D02C|0x9D040|0x9D054|0x9D068"
"0x020624F8","instruction","0x9CF14|0x9CF28|0x9CF40|0x9CF58|0x9CF70|0x9CFA4|0x9CFB4|0x9CFC4|0x9CFEC|0x9D008|0x9D01C|0x9D030|0x9D044|0x9D058|0x9D06C"
"0x020624FC","instruction","0x9D00C|0x9D020|0x9D034|0x9D05C|0x9D070"
"0x02062502","instruction","0x9D010|0x9D024|0x9D038|0x9D060|0x9D074"
"0x02062508","instruction","0x9D078"
"0x0206250E","instruction","0x5BACC"
"0x02062512","instruction","0x5BAD0"
"0x02062515","string","0x2D872"
"0x0206251D","string","0x578E4"
"0x02062527","image","0x3A5C0"
"0x02062529","string","0x578F4"
"0x02062531","string","0x904A4"
"0x0206253C","instruction","0x90594"
"0x02062543","image","0x9060C"
"0x02062547","string","0x312E4"
"0x0206254D","image","0x3390C"
"0x02062551","image","0x3664C|0x3772E|0x377C0|0x3796C"
