"target","kinds","source_offsets"
"0x02071C2E","instruction","0x71AD2"
"0x02071C3A","instruction","0x7187C"
"0x02071C4A","instruction","0x718E6"
"0x02071C5A","instruction","0x710F8"
"0x02071CAC","instruction","0x6FD84"
"0x02071D28","instruction","0x6EC80"
"0x02071E5A","instruction","0x7123C"
"0x02071FF0","instruction","0x71E00"
"0x020720A3","image","0x72490"
"0x02072828","instruction","0x7405C"
"0x02072832","instruction","0x73D1A"
"0x0207303E","instruction","0x7FE04"
"0x0207306C","instruction","0x73910"
"0x02073236","instruction","0x3CB0C"
"0x02073352","instruction","0x730CC"
"0x0207337A","instruction","0x73340"
"0x0207340A","instruction","0x730C6|0x7324C"
"0x020734A8","instruction","0x746CA"
"0x020762C0","instruction","0x760DC|0x78568"
"0x02076BA0","instruction","0x7541C"
"0x02076E64","instruction","0x75898|0x78562"
"0x02077954","instruction","0x77946"
"0x020779D4","instruction","0x73E5C"
"0x02077BB2","instruction","0x778D8"
"0x02077C40","instruction","0x78C4E"
"0x02077C94","instruction","0x78694"
"0x020783D6","instruction","0x786D0"
"0x02078454","instruction","0x78350|0x78C02"
"0x02078482","instruction","0x7837E|0x78C28"
"0x020784B0","instruction","0x7D484"
"0x0207851E","instruction","0x7841C|0x78A9C"
"0x020795D8","instruction","0x79B24"
"0x020796D8","instruction","0x79B2A"
"0x020797F7","image","0x79A04"
"0x020798E8","instruction","0x79E60"
"0x020799D8","image","0x79E58"
"0x0207A170","image","0x7D132"
"0x0207A176","instruction","0x7D13C"
"0x0207A17C","instruction","0x7D212"
"0x0207A184","instruction","0x7D330"
"0x0207A18C","instruction","0x7D45A"
"0x0207A194","image","0x7D4D4"
"0x0207A19C","image","0x7BB44"
"0x0207A1A4","instruction","0x7AE9E"
"0x0207A1B6","image","0x7AE90"
"0x0207A1DC","instruction","0x7D76C"
"0x0207A1E4","instruction","0x7F4E0"
"0x0207A1EC","instruction","0x7F4FC"
"0x0207A228","instruction","0x7FA44"
"0x0207A250","image","0x7CC1A"
"0x0207A278","instruction","0x7CC36"
"0x0207A290","image","0x7CC2C"
"0x0207A2A0","image","0x7CC22"
"0x0207A2AC","instruction","0x7D938"
"0x0207A6AA","image","0x7D92C"
"0x0207AB2A","instruction","0x7AC0C"
"0x0207DC34","instruction","0x7A064"
"0x0207DCF6","instruction","0x7FA00"
"0x0207E850","image","0x1A918"
"0x0207E851","image","0x3F8B8"
"0x0207E852","instruction","0x1102A"
"0x0207E854","instruction","0x95D24"
"0x0207E85F","image","0x2FF38"
"0x0207EE50","instruction","0x6CE48|0x6D4F0"
"0x0207EF28","instruction","0x7A05C"
"0x0207EF68","instruction","0x7A060"
"0x0207EFE8","instruction","0x7A068"
"0x0207F034","instruction","0x7A074"
"0x0207F0F0","instruction","0x7A078"
"0x0207F13E","instruction","0x7A0BC"
"0x0207F172","instruction","0x7A0C0"
"0x0207F20C","instruction","0x7F40C"
"0x0207F414","instruction","0x7F356|0x7F668"
"0x0207F76A","instruction","0x7FCAE"
"0x0207F7B8","instruction","0x7FA30"
"0x0207F800","instruction","0x7F184|0x7F1EE|0x8EA62"
"0x0207F801","image","0x807E4"
"0x0207F802","image","0x80848"
"0x0207F803","image","0x335F8"
"0x0207F880","image","0xCC96|0x29596|0x2FBDC|0x67CC4|0x6DB16|0x6E7AE|0x6E7E4|0x74DBA|0x8A2A6"
"0x0207F881","image","0x4A7B2|0x6D9AE|0x7ADA6|0x7E0A2|0x86554"
"0x0207F882","instruction","0x1D522"
"0x0207F883","image","0x1850A"
"0x0207F886","instruction","0x696E0"
"0x0207F887","image","0x709C0"
"0x0207F888","instruction","0x7D826"
"0x0207F88C","instruction","0x7A10C"
"0x0207F8C8","instruction","0x7A114"
"0x0207F8EA","instruction","0x7A118"
"0x0207F910","instruction","0x7A11C"
"0x0207F962","instruction","0x7A120"
"0x0207FD85","image","0xEAA2"
"0x0207FD86","instruction","0x12EA2"
"0x0207FF1C","instruction","0x906B8"
"0x02080000","instruction","0x36E72"
"0x020807B0","instruction","0x80E60"
"0x020809C6","instruction","0x808BA"
"0x0208126C","instruction","0x811EE"
"0x020812F8","instruction","0x80690"
"0x0208136A","instruction","0x80694"
"0x0208147C","instruction","0x85504|0x86E12"
"0x020814AC","instruction","0x8550A|0x8582C|0x86802|0x868E0|0x86A6E|0x86B6A|0x86BA0|0x86BD8|0x86E18"
"0x0208151C","instruction","0x85832|0x86808|0x868E6|0x86A74|0x86B70|0x86BA6|0x86BDE|0x88562|0x887C6|0x88904"
"0x02081528","instruction","0x88568|0x887CC|0x8890A"
"0x02081590","instruction","0x821FA|0x8230E"
"0x020815EC","instruction","0x8549C"
"0x02081610","image","0x87700"
"0x02081650","instruction","0x876F8"
"0x02081690","instruction","0x88D06"
"0x020816A0","image","0x81404"
"0x020816EF","image","0x8831E"
"0x020816FF","image","0x88326"
"0x0208170C","image","0x89B4E"
"0x02081728","instruction","0x83C4C"
"0x02081738","instruction","0x81FBE"
"0x02081758","image","0x83774"
"0x020831D0","instruction","0x90778"
"0x02083394","instruction","0x81640"
"0x02083B98","instruction","0x81648"
"0x02083BB2","instruction","0x81644"
"0x02084B37","image","0x57D90"
"0x020851D4","instruction","0x82070"
"0x020854F0","instruction","0x836F2"
"0x0208550A","instruction","0x89E06"
"0x0208552E","instruction","0x81408"
"0x02085532","instruction","0x8140C"
"0x02085536","instruction","0x81410"
"0x020859AA","instruction","0x8380E"
