"target","kinds","source_offsets"
"0x02054F6C","instruction","0x5C198"
"0x02054F84","instruction","0x54E4C"
"0x02054F8C","instruction","0x54E50"
"0x02054F9C","image","0x54E54"
"0x02054FB0","instruction","0x5BCA0"
"0x02055D58","instruction","0x5C1B4"
"0x02055D70","instruction","0x55C38"
"0x02055DA8","instruction","0x55C3C"
"0x02055DB8","instruction","0x55C40"
"0x02055DCC","instruction","0x5BCAC"
"0x02056B74","instruction","0x5BCB8"
"0x02057920","image","0x5BE64"
"0x02057930","image","0x5BE70"
"0x02057940","instruction","0x5BE6C"
"0x02057958","instruction","0x2DC3E"
"0x02057988","instruction","0x16C6"
"0x02057994","instruction","0x2BF4|0x6973C"
"0x02057A54","instruction","0x5BEDC"
"0x02057A70","instruction","0x9072C"
"0x02057A78","instruction","0x90738"
"0x02057A80","instruction","0x57954"
"0x02057A9C","instruction","0x3395E"
"0x02057AA0","instruction","0x83796"
"0x02057AB4","image","0x3A6B4"
"0x02057AC0","instruction","0x96894"
"0x02057AE0","instruction","0x499A2|0x49A62"
"0x02057B64","instruction","0x90734"
"0x02057B84","image","0x3DCBA"
"0x02057D84","instruction","0x3D034"
"0x02057F84","instruction","0x7DB02"
"0x02057F8A","instruction","0x7FB92"
"0x02057F8D","image","0x6BFFE"
"0x02057F90","instruction","0x8BBE2"
"0x02057F92","instruction","0x3F1A6"
"0x02057FA4","instruction","0x90728"
"0x02057FC4","instruction","0x8FCC6"
"0x02057FD0","instruction","0x442A6"
"0x020587D4","instruction","0x18FC"
"0x0205A7D8","instruction","0x9CD8"
"0x0205ABDC","instruction","0x2EE8E"
"0x0205AFE0","instruction","0x4533E"
"0x0205B7E8","instruction","0x20CF6"
"0x0205B828","instruction","0x90838"
"0x0205B854","instruction","0x9082C"
"0x0205B880","instruction","0x90820"
"0x0205B8AC","instruction","0x90808"
"0x0205B8D8","instruction","0x907FC"
"0x0205B904","instruction","0x497A8"
"0x0205B91C","instruction","0x90814"
"0x0205B948","instruction","0x48600|0x48DEA"
