"target","kinds","source_offsets"
"0x0201CA80","instruction","0x4F86C"
"0x0201DCBE","instruction","0x4F87C"
"0x0201DD06","instruction","0x4F880"
"0x0201DD8A","instruction","0x4F888"
"0x0201E041","image","0x8ABE|0x224AC"
"0x0201E044","image","0x21C88|0x21D8A|0x23D3E|0x449F8"
"0x0201E046","instruction","0x21CEE|0x2317C|0x45BE0"
"0x0201E047","image","0x26664"
"0x0201E1EC","instruction","0x1D656|0x1DA7E"
"0x0201E1F4","image","0xAC26|0x1D46C|0x215EC|0x21610|0x39E0A|0x47F6A|0x7A82A"
"0x0201E1F8","instruction","0x1D65C|0x1DA88"
"0x0201E204","instruction","0x4F898"
"0x0201E220","instruction","0x4F8A4"
"0x0201E3C8","instruction","0x2A614"
"0x0201E435","image","0x29B86|0x3EA24"
"0x0201E4C4","instruction","0x2A668"
"0x0201E53F","image","0x190E|0x1A74|0x1E78|0x22E9E|0x24592|0x250EE|0x2693C|0x28062|0x281A8|0x283D0|0x4463C|0x4466A|0x4469A|0x44A10|0x44B32|0x44B58|0x44D60|0x44D86|0x455AC|0x45760|0x45786|0x45832|0x45858|0x45A98|0x45ABE"
"0x0201E9EA","instruction","0x4F8B0"
"0x0201EB26","image","0x260DC"
"0x0201F53F","image","0x25320"
"0x0201F7FC","instruction","0x4F8B4"
"0x0201F881","image","0x6D82A"
"0x0201FC16","instruction","0x337B4"
"0x0201FF01","image","0x88BAE"
"0x0201FF0B","image","0x4259A|0x93DA4"
"0x0201FFC2","image","0x78DB6"
"0x02020000","instruction","0x50740|0x9E426"
"0x02020202","image","0x62740|0x62742|0x62744|0x62746|0x62748|0x6274A|0x6274C|0x6274E|0x62840|0x62842|0x62844|0x62846|0x62848|0x6284A|0x6284C|0x6284E|0x62850"
"0x02020242","image","0x6273E"
"0x02020303","image","0x5BE8E"
"0x02020324","instruction","0x5BDCC"
"0x02020445","image","0x9D1BA"
"0x02020540","instruction","0x9D1BE"
"0x02020541","image","0x9D1C2"
"0x02020542","instruction","0x9D1C6"
"0x02020543","image","0x9D1CA"
"0x02020544","image","0x9D1CE"
"0x0202076A","instruction","0x4F8B8"
"0x02020909","image","0x502E4"
"0x02020B28","instruction","0x4F8BC"
