"start_offset","end_offset","length"
"0x20A2","0x20A4","2"
"0x20BC","0x20BE","2"
"0x20C0","0x20C2","2"
"0x212C","0x212E","2"
"0x2132","0x2134","2"
"0x2136","0x2138","2"
"0x213A","0x213C","2"
"0x2144","0x2146","2"
"0x214A","0x214C","2"
"0x214E","0x2150","2"
"0x2152","0x2154","2"
"0x215C","0x215E","2"
"0x2162","0x2164","2"
"0x2166","0x2168","2"
"0x216A","0x216C","2"
"0x2172","0x2174","2"
"0x217E","0x2180","2"
"0x2188","0x218A","2"
"0x2192","0x2194","2"
"0x21B4","0x21B8","4"
"0x21BE","0x21C0","2"
"0x21CA","0x21CC","2"
"0x222C","0x222E","2"
"0x2230","0x2232","2"
"0x2238","0x223A","2"
"0x2242","0x2244","2"
"0x2250","0x2252","2"
"0x2254","0x2256","2"
"0x225E","0x2260","2"
"0x2266","0x2268","2"
"0x226A","0x226C","2"
"0x226E","0x2270","2"
"0x2274","0x2276","2"
"0x2278","0x227A","2"
"0x2280","0x2282","2"
"0x228A","0x228C","2"
"0x228E","0x2292","4"
"0x22AC","0x22AE","2"
"0x22B0","0x22B2","2"
"0x22B4","0x22B6","2"
"0x22B8","0x22BA","2"
"0x22BC","0x22BE","2"
"0x22D6","0x22D8","2"
"0x22DA","0x22DC","2"
"0x22E4","0x22E6","2"
"0x22E8","0x22EA","2"
"0x2948","0x294C","4"
"0x294E","0x2950","2"
"0x2956","0x2958","2"
"0x2960","0x2962","2"
"0x296A","0x296C","2"
"0x296E","0x2970","2"
"0x2976","0x2978","2"
"0x297A","0x297C","2"
"0x297E","0x2980","2"
"0x2984","0x2986","2"
"0x2988","0x298A","2"
"0x2990","0x2992","2"
"0x299C","0x299E","2"
"0x29A0","0x29A2","2"
"0x29BE","0x29C0","2"
"0x29C2","0x29C4","2"
"0x29C6","0x29C8","2"
"0x29CA","0x29CC","2"
"0x29CE","0x29D0","2"
"0x29EA","0x29EC","2"
"0x29F4","0x29F6","2"
"0x2A00","0x2A02","2"
"0x2A04","0x2A06","2"
"0x2A18","0x2A1A","2"
"0x2A1C","0x2A1E","2"
"0x2A26","0x2A28","2"
"0x2A38","0x2A3A","2"
"0x2A40","0x2A42","2"
"0x2A48","0x2A4A","2"
"0x2A4C","0x2A4E","2"
"0x2A50","0x2A52","2"
"0x2A58","0x2A5A","2"
"0x2A62","0x2A64","2"
"0x2A6C","0x2A6E","2"
"0x2A70","0x2A72","2"
"0x2A74","0x2A76","2"
"0x2A86","0x2A88","2"
"0x2A8A","0x2A8C","2"
"0x2A8E","0x2A90","2"
"0x2A92","0x2A94","2"
"0x2A96","0x2A98","2"
"0x2A9A","0x2A9C","2"
"0x3E6C","0x3E70","4"
"0x3E78","0x3E7A","2"
"0x3E84","0x3E88","4"
"0x4092","0x40A0","14"
"0x40A2","0x40A6","4"
"0x40AE","0x40B8","10"
"0x4F80","0x4F82","2"
"0x4F84","0x4F86","2"
"0x5130","0x5132","2"
"0x5B1E","0x5B20","2"
"0x5B24","0x5B26","2"
"0x5D68","0x5D6A","2"
"0x93DA","0x93DE","4"
"0x9CCC","0x9CCE","2"
"0x9CD0","0x9CD2","2"
"0x9CE0","0x9CE2","2"
"0x9CE6","0x9CE8","2"
"0x9CEA","0x9CEC","2"
"0x9CEE","0x9CF0","2"
"0x9CF2","0x9CF6","4"
"0xD01E","0xD020","2"
"0xE744","0xE746","2"
"0xE748","0xE74A","2"
"0xE752","0xE758","6"
"0xE760","0xE762","2"
"0xE768","0xE76A","2"
"0xE786","0xE788","2"
"0xE794","0xE798","4"
"0xEF4C","0xEF4E","2"
"0xEF5A","0xEF5C","2"
"0xEF5E","0xEF60","2"
"0x10236","0x10240","10"
"0x1025E","0x10268","10"
"0x10286","0x1028E","8"
"0x102AE","0x102B8","10"
"0x102D8","0x102E2","10"
"0x10300","0x10304","4"
"0x12784","0x12786","2"
"0x12A42","0x12A44","2"
"0x12A72","0x12A74","2"
"0x15262","0x15264","2"
"0x19BC8","0x19BCA","2"
"0x19BCC","0x19BD2","6"
"0x19BD6","0x19BDA","4"
"0x19CEA","0x19D3E","84"
"0x19D40","0x19D4E","14"
"0x19D50","0x19D62","18"
"0x19D64","0x19D66","2"
"0x19D68","0x19D70","8"
"0x19D72","0x19D7C","10"
"0x19D80","0x19D84","4"
"0x19D86","0x19D88","2"
"0x19D8A","0x19D8E","4"
"0x19E70","0x19E72","2"
"0x19E7A","0x19E7C","2"
"0x1B3B8","0x1B3BA","2"
"0x1B3BE","0x1B3C0","2"
"0x1BC1C","0x1BC40","36"
"0x1BC5E","0x1BC66","8"
"0x1C0D4","0x1C0FE","42"
"0x1C99C","0x1C9D2","54"
"0x1DC9A","0x1DC9C","2"
"0x1DC9E","0x1DCA0","2"
"0x1DCC6","0x1DCC8","2"
