"start_offset","end_offset","length"
"0x798CA","0x798CC","2"
"0x798D4","0x798D6","2"
"0x79912","0x79914","2"
"0x79920","0x79926","6"
"0x79934","0x79936","2"
"0x7A050","0x7A052","2"
"0x7A058","0x7A05A","2"
"0x7A074","0x7A076","2"
"0x7A07C","0x7A080","4"
"0x7A086","0x7A088","2"
"0x7A08A","0x7A08E","4"
"0x7A090","0x7A098","8"
"0x7A09C","0x7A0A0","4"
"0x7A0A2","0x7A0A6","4"
"0x7A0AA","0x7A0AC","2"
"0x7A0B0","0x7A0BA","10"
"0x7A0C8","0x7A0CC","4"
"0x7A0CE","0x7A0D0","2"
"0x7A104","0x7A106","2"
"0x7A130","0x7A13A","10"
"0x7A13C","0x7A14C","16"
"0x7A14E","0x7A150","2"
"0x7A152","0x7A158","6"
"0x7A15A","0x7A164","10"
"0x7A166","0x7A16C","6"
"0x7A16E","0x7A17C","14"
"0x7A17E","0x7A188","10"
"0x7A18A","0x7A18C","2"
"0x7A18E","0x7A190","2"
"0x7A192","0x7A196","4"
"0x7A19C","0x7A19E","2"
"0x7A1A0","0x7A1A2","2"
"0x7A1A6","0x7A1AE","8"
"0x7A1BC","0x7A1CA","14"
"0x7A1CC","0x7A1D6","10"
"0x7A1DE","0x7A1E0","2"
"0x7A1E4","0x7A1E6","2"
"0x7A1E8","0x7A1EC","4"
"0x7A1EE","0x7A1F2","4"
"0x7A1F4","0x7A1F8","4"
"0x7A1FA","0x7A206","12"
"0x7A20A","0x7A20E","4"
"0x7A214","0x7A222","14"
"0x7A228","0x7A230","8"
"0x7A232","0x7A234","2"
"0x7A236","0x7A23A","4"
"0x7A23C","0x7A252","22"
"0x7A256","0x7A25E","8"
"0x7A260","0x7A262","2"
"0x7A266","0x7A26A","4"
"0x7A26C","0x7A270","4"
"0x7A276","0x7A27A","4"
"0x7A27C","0x7A27E","2"
"0x7A280","0x7A282","2"
"0x7A28C","0x7A296","10"
"0x7A298","0x7A29A","2"
"0x7A29C","0x7A2B2","22"
"0x7A2B4","0x7A2B6","2"
"0x7A2BA","0x7A2C0","6"
"0x7A2C6","0x7A2D2","12"
"0x7A2D4","0x7A2D6","2"
"0x7A2D8","0x7A2E8","16"
"0x7A2EA","0x7A2F0","6"
"0x7A2F2","0x7A2F4","2"
