"start_offset","end_offset","length"
"0x60CA2","0x60CA4","2"
"0x60CB8","0x60CBA","2"
"0x60CD4","0x60CD6","2"
"0x60CE0","0x60CE2","2"
"0x60CE6","0x60CEC","6"
"0x60D08","0x60D0A","2"
"0x60D14","0x60D16","2"
"0x60D28","0x60D2A","2"
"0x60D42","0x60D44","2"
"0x60D4C","0x60D4E","2"
"0x60D58","0x60D5A","2"
"0x60D98","0x60D9A","2"
"0x60DAC","0x60DAE","2"
"0x60DB4","0x60DB6","2"
"0x60DBC","0x60DBE","2"
"0x60DC0","0x60DC2","2"
"0x60DDA","0x60DDE","4"
"0x60DE4","0x60DE6","2"
"0x60DEA","0x60DEE","4"
"0x60DF4","0x60DF6","2"
"0x60E00","0x60E02","2"
"0x60E06","0x60E08","2"
"0x60E0C","0x60E0E","2"
"0x60E20","0x60E22","2"
"0x60E24","0x60E26","2"
"0x60E2C","0x60E2E","2"
"0x60E48","0x60E4A","2"
"0x60E54","0x60E56","2"
"0x60E66","0x60E68","2"
"0x60E76","0x60E78","2"
"0x60EB0","0x60EB2","2"
"0x60EC8","0x60ECA","2"
"0x60ED0","0x60ED2","2"
"0x60ED4","0x60ED6","2"
"0x60EE0","0x60EE2","2"
"0x60EE8","0x60EEC","4"
"0x60EFA","0x60EFC","2"
"0x60F0C","0x60F0E","2"
"0x60F14","0x60F16","2"
"0x60F18","0x60F1A","2"
"0x60F30","0x60F32","2"
"0x60F34","0x60F36","2"
"0x60F3C","0x60F3E","2"
"0x60F4A","0x60F4C","2"
"0x60F4E","0x60F50","2"
"0x60F54","0x60F56","2"
"0x60F74","0x60F76","2"
"0x60F78","0x60F7A","2"
"0x60F80","0x60F82","2"
"0x60F88","0x60F8A","2"
"0x60F8C","0x60F8E","2"
"0x60F9C","0x60F9E","2"
"0x60FA4","0x60FA8","4"
"0x60FCC","0x60FCE","2"
"0x60FF0","0x60FF2","2"
"0x61006","0x61008","2"
"0x61026","0x61028","2"
"0x61030","0x61032","2"
"0x61064","0x61066","2"
"0x61076","0x61078","2"
"0x6107A","0x6107C","2"
