"start_offset","end_offset","length"
"0x92DF4","0x92DF6","2"
"0x92DFA","0x92DFC","2"
"0x92DFE","0x92E00","2"
"0x92E06","0x92E0C","6"
"0x92E0E","0x92E10","2"
"0x92E12","0x92E14","2"
"0x92E16","0x92E18","2"
"0x92E1C","0x92E1E","2"
"0x92E32","0x92E36","4"
"0x92E44","0x92E46","2"
"0x92E48","0x92E4A","2"
"0x92E4C","0x92E4E","2"
"0x92E58","0x92E5A","2"
"0x92E5C","0x92E5E","2"
"0x92E60","0x92E62","2"
"0x92E64","0x92E66","2"
"0x92E68","0x92E6C","4"
"0x92E76","0x92E78","2"
"0x92E7A","0x92E7E","4"
"0x92E84","0x92E86","2"
"0x92E8A","0x92E8C","2"
"0x92E8E","0x92E90","2"
"0x92E96","0x92E9C","6"
"0x92E9E","0x92EA0","2"
"0x92EA2","0x92EA4","2"
"0x92EA6","0x92EA8","2"
"0x92EAC","0x92EAE","2"
"0x92EBC","0x92EBE","2"
"0x92EC8","0x92ECA","2"
"0x92ECE","0x92ED0","2"
"0x92ED4","0x92ED6","2"
"0x92EDC","0x92EDE","2"
"0x92EE0","0x92EE2","2"
"0x92EE4","0x92EE6","2"
"0x92EE8","0x92EEA","2"
"0x92EEC","0x92EEE","2"
"0x92EF6","0x92EF8","2"
"0x92F0E","0x92F10","2"
"0x92F14","0x92F16","2"
"0x92F18","0x92F1A","2"
"0x92F1C","0x92F1E","2"
"0x92F24","0x92F2A","6"
"0x92F2C","0x92F2E","2"
"0x92F30","0x92F32","2"
"0x92F34","0x92F36","2"
"0x92F3A","0x92F3C","2"
"0x92F4C","0x92F4E","2"
"0x92F58","0x92F5A","2"
"0x92F5E","0x92F60","2"
"0x92F62","0x92F64","2"
"0x92F6E","0x92F70","2"
"0x92F72","0x92F74","2"
"0x92F76","0x92F78","2"
"0x92F7A","0x92F7C","2"
"0x92F7E","0x92F80","2"
"0x92F8A","0x92F8C","2"
"0x92F90","0x92F92","2"
"0x92F9A","0x92F9C","2"
"0x92FA0","0x92FA2","2"
"0x92FA4","0x92FA6","2"
"0x92FAC","0x92FB2","6"
"0x92FB4","0x92FB6","2"
"0x92FB8","0x92FBA","2"
"0x92FBC","0x92FBE","2"
"0x92FC2","0x92FC4","2"
"0x92FD4","0x92FD6","2"
"0x92FE0","0x92FE2","2"
"0x92FE6","0x92FE8","2"
"0x92FEA","0x92FEC","2"
"0x92FF6","0x92FF8","2"
"0x92FFA","0x92FFC","2"
"0x92FFE","0x93000","2"
"0x93002","0x93004","2"
"0x93006","0x93008","2"
"0x93012","0x93014","2"
"0x93018","0x9301A","2"
"0x93022","0x93024","2"
"0x93028","0x9302A","2"
"0x9302C","0x9302E","2"
"0x93034","0x9303A","6"
"0x9303C","0x9303E","2"
"0x93040","0x93042","2"
"0x93044","0x93046","2"
"0x9304A","0x9304C","2"
"0x9305C","0x9305E","2"
"0x93068","0x9306A","2"
"0x9306E","0x93070","2"
"0x93072","0x93074","2"
"0x9307E","0x93080","2"
"0x93082","0x93084","2"
"0x93086","0x93088","2"
"0x9308A","0x9308C","2"
"0x9308E","0x93090","2"
"0x9309A","0x9309C","2"
"0x930A0","0x930A2","2"
"0x930AA","0x930AC","2"
"0x930B0","0x930B2","2"
"0x930B4","0x930B6","2"
"0x930BC","0x930C2","6"
"0x930C4","0x930C6","2"
"0x930C8","0x930CA","2"
"0x930CC","0x930CE","2"
"0x930D2","0x930D4","2"
"0x930E4","0x930E6","2"
"0x930F0","0x930F2","2"
"0x930F6","0x930F8","2"
"0x930FA","0x930FC","2"
"0x93106","0x93108","2"
"0x9310A","0x9310C","2"
"0x9310E","0x93110","2"
"0x93112","0x93114","2"
"0x93116","0x93118","2"
"0x93122","0x93124","2"
"0x93128","0x9312A","2"
"0x93132","0x93134","2"
"0x93138","0x9313A","2"
"0x9313C","0x9313E","2"
"0x93144","0x9314A","6"
"0x9314C","0x9314E","2"
"0x93150","0x93152","2"
"0x93154","0x93156","2"
"0x9315A","0x9315C","2"
"0x9316C","0x9316E","2"
"0x93178","0x9317A","2"
"0x9317E","0x93180","2"
"0x93182","0x93184","2"
"0x9318E","0x93190","2"
"0x93192","0x93194","2"
"0x93196","0x93198","2"
"0x9319A","0x9319C","2"
"0x9319E","0x931A0","2"
"0x931AA","0x931AC","2"
"0x931B0","0x931B2","2"
"0x931BA","0x931BC","2"
"0x931C0","0x931C2","2"
"0x931C4","0x931C6","2"
"0x931CC","0x931D2","6"
"0x931D4","0x931D6","2"
"0x931D8","0x931DA","2"
"0x931DC","0x931DE","2"
"0x931E2","0x931E4","2"
"0x931F4","0x931F6","2"
"0x93200","0x93202","2"
"0x93206","0x93208","2"
"0x9320A","0x9320C","2"
"0x93216","0x93218","2"
"0x9321A","0x9321C","2"
"0x9321E","0x93220","2"
"0x93222","0x93224","2"
"0x93226","0x93228","2"
"0x93230","0x93232","2"
"0x93236","0x93238","2"
"0x9323C","0x9323E","2"
"0x93242","0x93244","2"
"0x93248","0x9324A","2"
"0x93250","0x93252","2"
"0x93254","0x93256","2"
"0x93258","0x9325A","2"
"0x9325C","0x9325E","2"
"0x93260","0x93262","2"
"0x93266","0x93268","2"
"0x93276","0x93278","2"
"0x93280","0x93282","2"
