"address","offset","partition_end","partition_size","name","confidence","tags","instructions","caller_count","callee_count","callers","callees","string_refs","indirect_string_refs","component"
"0x0201EED2","0x1EDB2","0x0201F0AA","472","FUN_0201EED2","mechanical","","150","2","9","0x0201F0AA|0x0201F0C2","0x0204E3DC|0x0204E87C|0x0204ECE8|0x0204ECEA|0x0204ECEC|0x0204ECEE|0x0204ED58|0x0204F0E2|0x0204F1EC","","","0"
"0x0201F0AA","0x1EF8A","0x0201F0C2","24","FUN_0201F0AA","mechanical","","11","1","1","0x0201F0C2","0x0201EED2","","","0"
"0x0201F0C2","0x1EFA2","0x0201F278","438","FUN_0201F0C2","mechanical","","173","1","4","0x0201F278","0x0201EED2|0x0201F0AA|0x0204E4BA|0x0204ECE8","","","0"
"0x0201F278","0x1F158","0x0201F414","412","FUN_0201F278","mechanical","","148","1","4","0x0201F414","0x0201ED14|0x0201F0C2|0x0204E6B6|0x0204ECEA","","","0"
"0x0201F414","0x1F2F4","0x0201F656","578","FUN_0201F414","mechanical","","240","8","5","0x0201F6F8|0x02020700|0x02020F26|0x02021504|0x0202D18C|0x0202D56A|0x0203B906|0x0204330A","0x0201ECEE|0x0201ED20|0x0201ED86|0x0201EE24|0x0201F278","","","0"
"0x0201F656","0x1F536","0x0201F672","28","FUN_0201F656","mechanical","","11","1","1","0x0201F672","0x02019AC4","","","0"
"0x0201F672","0x1F552","0x0201F6EA","120","FUN_0201F672","mechanical","","47","10","5","0x0201F6F8|0x02020700|0x020293D6|0x0202A4BE|0x0202C974|0x0202CC7E|0x0202D18C|0x0202D56A|0x0202DAAC|0x0202DFC0","0x0200A5EC|0x0200A614|0x0200AEF0|0x0201D6A8|0x0201F656","","","0"
"0x0201F6EA","0x1F5CA","0x0201F6F8","14","FUN_0201F6EA","mechanical","","6","2","1","0x0201F6F8|0x0202A4BE","0x0201E4FE","","","0"
"0x0201F6F8","0x1F5D8","0x0201F8F6","510","FUN_0201F6F8","mechanical","","187","3","5","0x0201F6F8|0x0202C974|0x0202CC7E","0x0201E68E|0x0201F414|0x0201F672|0x0201F6EA|0x0201F6F8","","","0"
"0x0201F8F6","0x1F7D6","0x0201F9C0","202","FUN_0201F8F6","mechanical","","81","7","6","0x0201FA76|0x0201FA8C|0x020203F4|0x020205B2|0x0202929A|0x0202CC7E|0x0202DFC0","0x0200A5EC|0x0200A97C|0x0200AA1C|0x0200AC28|0x0200AC54|0x0200AF74","","","0"
"0x0201F9C0","0x1F8A0","0x0201F9D4","20","FUN_0201F9C0","mechanical","","10","2","1","0x0201F9C0|0x0201F9F2","0x0201F9C0","","","0"
"0x0201F9D4","0x1F8B4","0x0201F9F2","30","FUN_0201F9D4","mechanical","","15","2","1","0x0201F9D4|0x0201F9F2","0x0201F9D4","","","0"
"0x0201F9F2","0x1F8D2","0x0201FA76","132","FUN_0201F9F2","mechanical","","46","7","10","0x0201FA76|0x0201FA8C|0x020203F4|0x020205B2|0x0202929A|0x0202CC7E|0x0202DFC0","0x0200A390|0x0200AA62|0x0200AA88|0x0200AEF0|0x0200AF4C|0x0200B04E|0x0200B136|0x0201C8B6|0x0201F9C0|0x0201F9D4","","","0"
"0x0201FA76","0x1F956","0x0201FA8C","22","FUN_0201FA76","mechanical","","8","6","2","0x0202045C|0x02029176|0x0202964A|0x020296DC|0x0202A4BE|0x0202DFC0","0x0201F8F6|0x0201F9F2","","","0"
"0x0201FA8C","0x1F96C","0x0201FAA2","22","FUN_0201FA8C","mechanical","","8","2","2","0x0202045C|0x0202D56A","0x0201F8F6|0x0201F9F2","","","0"
"0x0201FAA2","0x1F982","0x0201FAB8","22","FUN_0201FAA2","mechanical","","8","2","2","0x0202045C|0x0202D56A","0x0200AEF0|0x0201C8B6","","","0"
"0x0201FAB8","0x1F998","0x0201FAC8","16","FUN_0201FAB8","mechanical","","6","2","1","0x0202045C|0x0202D56A","0x0201E4FE","","","0"
"0x0201FAC8","0x1F9A8","0x02020388","2240","FUN_0201FAC8","mechanical","","757","6","9","0x0202045C|0x020293FE|0x0202A4BE|0x0202CC7E|0x0202DAAC|0x0202DFC0","0x02009F58|0x0200A3EC|0x0200A4CC|0x0200AA62|0x0200AA78|0x0200C2A0|0x0200DABA|0x0201E5E8|0x0201E62A","","","0"
"0x02020388","0x20268","0x02020396","14","FUN_02020388","mechanical","","6","3","1","0x0202045C|0x0202D18C|0x0202D56A","0x0201E4FE","","","0"
"0x02020396","0x20276","0x020203A6","16","FUN_02020396","mechanical","","6","2","1","0x020203A6|0x020296A2","0x0201E4FE","","","0"
"0x020203A6","0x20286","0x020203F4","78","FUN_020203A6","mechanical","","30","7","3","0x0202045C|0x0202964A|0x020296DC|0x0202A4BE|0x0202CC7E|0x0202D56A|0x0202DFC0","0x0201E4FE|0x0201E5F6|0x02020396","","","0"
"0x020203F4","0x202D4","0x0202040C","24","FUN_020203F4","mechanical","","8","2","2","0x0202045C|0x020296DC","0x0201F8F6|0x0201F9F2","","","0"
"0x0202040C","0x202EC","0x0202041C","16","FUN_0202040C","mechanical","","6","5","1","0x0202045C|0x0202964A|0x020296DC|0x0202A4BE|0x0202D56A","0x0201E4FE","","","0"
"0x0202041C","0x202FC","0x0202042C","16","FUN_0202041C","mechanical","","6","5","1","0x0202045C|0x0202964A|0x020296DC|0x0202A4BE|0x0202D56A","0x0201E4FE","","","0"
"0x0202042C","0x2030C","0x0202043C","16","FUN_0202042C","mechanical","","6","5","1","0x0202045C|0x0202964A|0x020296DC|0x0202A4BE|0x0202D56A","0x0201E4FE","","","0"
"0x0202043C","0x2031C","0x0202044C","16","FUN_0202043C","mechanical","","6","5","1","0x0202045C|0x0202964A|0x020296DC|0x0202A4BE|0x0202D56A","0x0201E4FE","","","0"
"0x0202044C","0x2032C","0x0202045C","16","FUN_0202044C","mechanical","","6","3","1","0x0202045C|0x020296DC|0x0202DFC0","0x0201E4FE","","","0"
"0x0202045C","0x2033C","0x020205B2","342","FUN_0202045C","mechanical","","126","2","17","0x02020700|0x0202CC7E","0x0201E4FE|0x0201E5CE|0x0201E5DC|0x0201FA76|0x0201FA8C|0x0201FAA2|0x0201FAB8|0x0201FAC8|0x02020388|0x020203A6|0x020203F4|0x0202040C|0x0202041C|0x0202042C|0x0202043C|0x0202044C|0x02064D9E","","","0"
"0x020205B2","0x20492","0x020205CA","24","FUN_020205B2","mechanical","","8","6","2","0x02020700|0x020296DC|0x0202A4BE|0x0202CC7E|0x0202D56A|0x0202DFC0","0x0201F8F6|0x0201F9F2","","","0"
"0x020205CA","0x204AA","0x020205E0","22","FUN_020205CA","mechanical","","8","3","0","0x02020700|0x0202D18C|0x0202D56A","","","","0"
"0x020205E0","0x204C0","0x020205F0","16","FUN_020205E0","mechanical","","6","5","1","0x02020700|0x0202A4BE|0x0202CC7E|0x0202D56A|0x0202DFC0","0x0201E4FE","","","0"
"0x020205F0","0x204D0","0x02020600","16","FUN_020205F0","mechanical","","6","8","1","0x02020700|0x020296DC|0x02029D8C|0x0202A4BE|0x0202CC7E|0x0202D18C|0x0202D56A|0x0202DFC0","0x0201E4FE","","","0"
"0x02020600","0x204E0","0x02020610","16","FUN_02020600","mechanical","","6","5","1","0x02020700|0x0202A4BE|0x0202CC7E|0x0202D56A|0x0202DFC0","0x0201E4FE","","","0"
"0x02020610","0x204F0","0x02020700","240","FUN_02020610","mechanical","","87","5","2","0x02020700|0x02029D16|0x0202A4BE|0x0202CC7E|0x0202DAAC","0x0200A390|0x0200AEF0","","","0"
"0x02020700","0x205E0","0x02020860","352","FUN_02020700","mechanical","","125","5","18","0x02020700|0x020296DC|0x0202CC7E|0x0202D56A|0x0202DFC0","0x0200AACC|0x0201B27A|0x0201B2DC|0x0201E5CE|0x0201E5DC|0x0201E67A|0x0201E68E|0x0201F414|0x0201F672|0x0202045C|0x020205B2|0x020205CA|0x020205E0|0x020205F0|0x02020600|0x02020610|0x02020700|0x02064D9E","","","0"
"0x02020860","0x20740","0x0202090E","174","FUN_02020860","mechanical","","66","1","1","0x0202090E","0x0200B308","","","0"
"0x0202090E","0x207EE","0x02020A7E","368","FUN_0202090E","mechanical","","148","2","8","0x0202090E|0x02020A7E","0x0200A390|0x0200A614|0x0200A6FC|0x0200AA1C|0x0200B2EA|0x0200B308|0x02020860|0x0202090E","","","0"
"0x02020A7E","0x2095E","0x02020B16","152","FUN_02020A7E","mechanical","","57","6","6","0x02020B16|0x02029636|0x020296DC|0x0202CC7E|0x0202D56A|0x0202DFC0","0x0200A390|0x0200A6FC|0x0200AEF0|0x0200CB22|0x0200CD44|0x0202090E","","","0"
"0x02020B16","0x209F6","0x02020B3E","40","FUN_02020B16","mechanical","","16","2","3","0x02020B16|0x0202CC7E","0x02020A7E|0x02020B16|0x0206469A","","","0"
"0x02020B3E","0x20A1E","0x02020B86","72","FUN_02020B3E","mechanical","","24","15","1","0x02020B86|0x02020C56|0x02020E50|0x02020F26|0x02021504|0x02021950|0x02022848|0x02022BB0|0x02025A60|0x0202611A|0x0202694C|0x02028094|0x02028652|0x020288EC|0x0202DFC0","0x0204ECF6","","","0"
"0x02020B86","0x20A66","0x02020C56","208","FUN_02020B86","mechanical","","77","2","3","0x02020F26|0x020288EC","0x020028E0|0x02020B3E|0x0204E4BA","","","0"
"0x02020C56","0x20B36","0x02020E50","506","FUN_02020C56","mechanical","","141","1","2","0x02020F26","0x02020B3E|0x0204ECF6","","","0"
"0x02020E50","0x20D30","0x02020F26","214","FUN_02020E50","mechanical","","74","1","3","0x02020F26","0x020028E0|0x02020B3E|0x0204E4BA","","","0"
"0x02020F26","0x20E06","0x02021504","1502","FUN_02020F26","mechanical","","448","1","9","0x02020F26","0x02001DDE|0x020028E0|0x0201F414|0x02020B3E|0x02020B86|0x02020C56|0x02020E50|0x02020F26|0x0204E4BA","","","0"
"0x02021504","0x213E4","0x02021816","786","FUN_02021504","mechanical","","258","1","5","0x02021504","0x020028E0|0x02002A50|0x0201F414|0x02020B3E|0x02021504","","","0"
"0x02021816","0x216F6","0x02021860","74","FUN_02021816","mechanical","","24","3","1","0x02021950|0x02022848|0x02022BB0","0x0204ECF6","","","0"
"0x02021860","0x21740","0x02021950","240","FUN_02021860","mechanical","","63","2","2","0x02021950|0x0202611A","0x020019B0|0x02001A40","","","0"
"0x02021950","0x21830","0x02021AD6","390","FUN_02021950","mechanical","","118","2","4","0x02021950|0x0202694C","0x02020B3E|0x02021816|0x02021860|0x02021950","","","0"
"0x02021AD6","0x219B6","0x02021AE6","16","FUN_02021AD6","mechanical","","4","5","0","0x02021AE6|0x02022848|0x02022BB0|0x0202611A|0x0202694C","","","","0"
"0x02021AE6","0x219C6","0x02021B30","74","FUN_02021AE6","mechanical","","29","5","2","0x02021AE6|0x02022848|0x02022BB0|0x0202611A|0x0202694C","0x02021AD6|0x02021AE6","","","0"
"0x02021B30","0x21A10","0x02021C52","290","FUN_02021B30","mechanical","","86","4","1","0x02021B30|0x02022848|0x02022BB0|0x0202C46C","0x02021B30","","","0"
"0x02021C52","0x21B32","0x02021D4A","248","FUN_02021C52","mechanical","","68","3","1","0x02021C52|0x02022848|0x02022BB0","0x02021C52","","","0"
"0x02021D4A","0x21C2A","0x02022848","2814","FUN_02021D4A","mechanical","","874","2","9","0x02021D4A|0x0202694C","0x02001998|0x02021D4A|0x0204E4BA|0x0204E87C|0x0204ECF0|0x0204ECF6|0x0204F068|0x0204F1EC|0x0204F4B0","","","0"
