"address","offset","partition_end","partition_size","name","confidence","tags","instructions","caller_count","callee_count","callers","callees","string_refs","indirect_string_refs","component"
"0x0208C610","0x8C4F0","0x0208C62E","30","FUN_0208C610","mechanical","","11","1","1","0x0208D518","0x0208AF7C","","","0"
"0x0208C62E","0x8C50E","0x0208C6A0","114","FUN_0208C62E","mechanical","","41","3","6","0x0208C6B4|0x0208CD46|0x0208D518","0x02072586|0x02081BCA|0x0208AF7C|0x0208B548|0x0208B7C0|0x0208BAB6","","","0"
"0x0208C6A0","0x8C580","0x0208C6B4","20","FUN_0208C6A0","mechanical","","8","1","0","0x0208C6B4","","","","0"
"0x0208C6B4","0x8C594","0x0208CD32","1662","FUN_0208C6B4","mechanical","","544","1","34","0x0208C6B4","0x02004F1E|0x0200551A|0x0204E482|0x02072058|0x0207281A|0x02081774|0x02081BCA|0x02081F36|0x0208A208|0x0208A220|0x0208A434|0x0208ABC4|0x0208AC3A|0x0208AC44|0x0208AC50|0x0208AD70|0x0208AF7C|0x0208B022|0x0208B2CE|0x0208B31C|0x0208B410|0x0208B47E|0x0208B548|0x0208B7C0|0x0208B7E2|0x0208B850|0x0208B8F4|0x0208B944|0x0208B970|0x0208BAB6|0x0208C4BA|0x0208C62E|0x0208C6A0|0x0208C6B4","","","0"
"0x0208CD32","0x8CC12","0x0208CD46","20","FUN_0208CD32","mechanical","","6","1","0","0x0208CD46","","","","0"
"0x0208CD46","0x8CC26","0x0208D12E","1000","FUN_0208CD46","mechanical","","339","1","25","0x0208CD46","0x02081774|0x0208A208|0x0208A210|0x0208A220|0x0208A434|0x0208A582|0x0208A77A|0x0208AC80|0x0208AE2E|0x0208AF7C|0x0208B37E|0x0208B3BE|0x0208B426|0x0208B548|0x0208B6AA|0x0208B7C0|0x0208B7E2|0x0208B850|0x0208B944|0x0208B970|0x0208BAB6|0x0208C62E|0x0208CD32|0x0208CD46|0x0208D842","","","0"
"0x0208D12E","0x8D00E","0x0208D13C","14","FUN_0208D12E","mechanical","","5","1","0","0x020836E6","","","","0"
"0x0208D13C","0x8D01C","0x0208D192","86","FUN_0208D13C","mechanical","","21","1","3","0x020836E6","0x020832D0|0x020836CC|0x0208B274","","","0"
"0x0208D192","0x8D072","0x0208D1A2","16","FUN_0208D192","mechanical","","4","1","0","0x020836E6","","","","0"
"0x0208D1A2","0x8D082","0x0208D1BA","24","FUN_0208D1A2","mechanical","","8","4","1","0x0208D1BA|0x0208D2B0|0x0208D372|0x0208D518","0x0208A1C2","","","0"
