"address","offset","partition_end","partition_size","name","confidence","tags","instructions","caller_count","callee_count","callers","callees","string_refs","indirect_string_refs","component"
"0x020665D4","0x664B4","0x020665E0","12","FUN_020665D4","mechanical","","4","15","1","0x0202EA02|0x02039914|0x02039C92|0x0203A9F8|0x020405E6|0x02041FE6|0x02046824|0x0206B0FA|0x0206B15E|0x0206B23E|0x0206B318|0x0206B582|0x02081B96|0x0208ACDE|0x02090362","0x02066468","","","0"
"0x020665E0","0x664C0","0x0206660A","42","FUN_020665E0","mechanical","","18","2","0","0x0206660A|0x02066BE2","","","","0"
"0x0206660A","0x664EA","0x0206692C","802","FUN_0206660A","mechanical","","268","2","3","0x0206692C|0x02066BE2","0x02065AF6|0x02065B70|0x020665E0","","","0"
"0x0206692C","0x6680C","0x0206694A","30","FUN_0206692C","mechanical","","11","2","4","0x0206694A|0x02068BEC","0x02065A6A|0x02065E0E|0x02065EF4|0x0206660A","","","0"
"0x0206694A","0x6682A","0x02066950","6","FUN_0206694A","mechanical","","3","39","1","0x02004DA2|0x02005666|0x02008FBC|0x0202A32E|0x0202A4BE|0x0202C082|0x0202EA02|0x0202ED40|0x0202F7A2|0x020301AA|0x020405E6|0x020411DE|0x02041A00|0x02041E36|0x02041EA0|0x02041FE6|0x02043E40|0x02046824|0x0204A2A2|0x0206854A|0x0206886A|0x02068AF0|0x02069126|0x0206B15E|0x0206B23E|0x0206B318|0x0206B582|0x02070710|0x02073AFA|0x02073B9A|0x02073D9E|0x0207809A|0x0207866C|0x02081BCA|0x0208216A|0x02082D94|0x02084BCE|0x0208ACDE|0x02090362","0x0206692C","","","0"
"0x02066950","0x66830","0x02066988","56","FUN_02066950","mechanical","","24","11","1","0x02000AB2|0x02000B22|0x02000D68|0x02007FF4|0x020081C8|0x020087C6|0x0202EFD4|0x020301AA|0x02041A00|0x02041E36|0x02041EA0","0x02066468","","","0"
"0x02066988","0x66868","0x0206699A","18","FUN_02066988","mechanical","","7","2","0","0x0206699A|0x020670A2","","","","0"
"0x0206699A","0x6687A","0x02066A5C","194","FUN_0206699A","mechanical","","76","6","2","0x02066F84|0x02067394|0x020674C6|0x020676AA|0x020680B8|0x02069126","0x020660FA|0x02066988","","","0"
"0x02066A5C","0x6693C","0x02066A7C","32","FUN_02066A5C","mechanical","","11","1","1","0x02066A7C","0x020659B8","","","0"
"0x02066A7C","0x6695C","0x02066BE2","358","FUN_02066A7C","mechanical","","119","2","2","0x02066D5E|0x0206780A","0x020659B8|0x02066A5C","","","0"
"0x02066BE2","0x66AC2","0x02066C66","132","FUN_02066BE2","mechanical","","44","2","3","0x02066D5E|0x0206780A","0x020659B8|0x020665E0|0x0206660A","","","0"
