"address","offset","partition_end","partition_size","name","confidence","tags","instructions","caller_count","callee_count","callers","callees","string_refs","indirect_string_refs","component"
"0x0208A468","0x8A348","0x0208A498","48","FUN_0208A468","mechanical","","20","1","3","0x0208BAB6","0x02072390|0x020817BE|0x0208A2BE","","","0"
"0x0208A498","0x8A378","0x0208A4FE","102","FUN_0208A498","mechanical","","37","2","3","0x0208A4FE|0x0208ABC4","0x02004578|0x0204ECF6|0x020834AA","","","0"
"0x0208A4FE","0x8A3DE","0x0208A582","132","FUN_0208A4FE","mechanical","","47","1","4","0x0208A582","0x0204E482|0x02083508|0x0208A33E|0x0208A498","","","0"
"0x0208A582","0x8A462","0x0208A6FE","380","FUN_0208A582","mechanical","","145","2","4","0x0208BAB6|0x0208CD46","0x02004578|0x0204ECF6|0x020834AA|0x0208A4FE","","","0"
"0x0208A6FE","0x8A5DE","0x0208A77A","124","FUN_0208A6FE","mechanical","","44","2","3","0x0208A77A|0x0208AC50","0x0204E482|0x02083508|0x0208A33E","","","0"
"0x0208A77A","0x8A65A","0x0208A786","12","FUN_0208A77A","mechanical","","6","2","1","0x0208C4BA|0x0208CD46","0x0208A6FE","","","0"
"0x0208A786","0x8A666","0x0208A78E","8","FUN_0208A786","mechanical","","3","3","1","0x0208D1DC|0x0208D230|0x0208D518","0x0208252E","","","0"
"0x0208A78E","0x8A66E","0x0208A7A0","18","FUN_0208A78E","mechanical","","6","1","1","0x0208D888","0x02083338","","","0"
"0x0208A7A0","0x8A680","0x0208ABB2","1042","FUN_0208A7A0","mechanical","","336","1","28","0x0208A7A0","0x0202E7F8|0x0206469A|0x0207239E|0x020723DC|0x020723F4|0x02072452|0x020724A2|0x02072524|0x02072546|0x02072586|0x020725A8|0x02072668|0x0207268C|0x020726A2|0x020726C4|0x020817BE|0x02081822|0x02081A6C|0x020828F0|0x0208A140|0x0208A7A0|0x0208C536|0x0208C5C0|0x0208D1BA|0x0208D1DC|0x0208D230|0x0208D2B0|0x0208D8CE","","","0"
"0x0208ABB2","0x8AA92","0x0208ABC4","18","FUN_0208ABB2","mechanical","","5","1","0","0x0208D518","","","","0"
"0x0208ABC4","0x8AAA4","0x0208AC3A","118","FUN_0208ABC4","mechanical","","42","1","4","0x0208C6B4","0x0204E482|0x02083508|0x0208A33E|0x0208A498","","","0"
"0x0208AC3A","0x8AB1A","0x0208AC44","10","FUN_0208AC3A","mechanical","","4","1","1","0x0208C6B4","0x0208A1F0","","","0"
"0x0208AC44","0x8AB24","0x0208AC50","12","FUN_0208AC44","mechanical","","4","1","0","0x0208C6B4","","","","0"
"0x0208AC50","0x8AB30","0x0208AC80","48","FUN_0208AC50","mechanical","","20","1","1","0x0208C6B4","0x0208A6FE","","","0"
"0x0208AC80","0x8AB60","0x0208ACDE","94","FUN_0208AC80","mechanical","","33","1","0","0x0208CD46","","","","0"
"0x0208ACDE","0x8ABBE","0x0208AD70","146","FUN_0208ACDE","mechanical","","47","1","4","0x0206B79C","0x0204E5A8|0x020665D4|0x0206694A|0x02069820","0x02062614","","0"
"0x0208AD70","0x8AC50","0x0208AD84","20","FUN_0208AD70","mechanical","","5","2","0","0x0208AD84|0x0208C6B4","","","","0"
"0x0208AD84","0x8AC64","0x0208ADBC","56","FUN_0208AD84","mechanical","","18","1","4","0x020836E6","0x020003B2|0x02063530|0x020659F4|0x0208AD70","","","0"
"0x0208ADBC","0x8AC9C","0x0208ADE0","36","FUN_0208ADBC","mechanical","","13","2","0","0x0208B970|0x0208BAB6","","","","0"
"0x0208ADE0","0x8ACC0","0x0208AE2E","78","FUN_0208ADE0","mechanical","","32","3","0","0x0208B42E|0x0208B970|0x0208BAB6","","","","0"
"0x0208AE2E","0x8AD0E","0x0208AE78","74","FUN_0208AE2E","mechanical","","31","4","0","0x0208B47E|0x0208BAB6|0x0208C536|0x0208CD46","","","","0"
"0x0208AE78","0x8AD58","0x0208AEB4","60","FUN_0208AE78","mechanical","","24","1","0","0x0208B970","","","","0"
"0x0208AEB4","0x8AD94","0x0208AEEE","58","FUN_0208AEB4","mechanical","","23","1","0","0x0208B970","","","","0"
"0x0208AEEE","0x8ADCE","0x0208AF7C","142","FUN_0208AEEE","mechanical","","66","1","1","0x0208C5C0","0x0206469A","","","0"
"0x0208AF7C","0x8AE5C","0x0208AF8E","18","FUN_0208AF7C","mechanical","","6","11","1","0x0208AF9E|0x0208B03E|0x0208B7E2|0x0208BAB6|0x0208C536|0x0208C5DE|0x0208C5F8|0x0208C610|0x0208C62E|0x0208C6B4|0x0208CD46","0x020817BE","","","0"
"0x0208AF8E","0x8AE6E","0x0208AF9E","16","FUN_0208AF8E","mechanical","","6","2","1","0x0208AF9E|0x0208B03E","0x02081BCA","","","0"
"0x0208AF9E","0x8AE7E","0x0208B022","132","FUN_0208AF9E","mechanical","","45","1","2","0x02000976","0x0208AF7C|0x0208AF8E","","","0"
"0x0208B022","0x8AF02","0x0208B03E","28","FUN_0208B022","mechanical","","10","4","0","0x0208B03E|0x0208B578|0x0208B6AA|0x0208C6B4","","","","0"
"0x0208B03E","0x8AF1E","0x0208B0D0","146","FUN_0208B03E","mechanical","","47","1","4","0x02000976","0x02081F36|0x0208AF7C|0x0208AF8E|0x0208B022","","","0"
"0x0208B0D0","0x8AFB0","0x0208B0E2","18","FUN_0208B0D0","mechanical","","5","1","0","0x02083598","","","","0"
"0x0208B0E2","0x8AFC2","0x0208B0F6","20","FUN_0208B0E2","mechanical","","6","2","0","0x020836E6|0x0208B0F6","","","","0"
"0x0208B0F6","0x8AFD6","0x0208B226","304","FUN_0208B0F6","mechanical","","99","1","10","0x020836E6","0x020003B2|0x020038AC|0x02004578|0x0204ECF6|0x02063530|0x020659F4|0x020832D0|0x02083598|0x020836CC|0x0208B0E2","","","0"
"0x0208B226","0x8B106","0x0208B240","26","FUN_0208B226","mechanical","","8","1","0","0x020836E6","","","","0"
"0x0208B240","0x8B120","0x0208B25C","28","FUN_0208B240","mechanical","","9","1","0","0x020836E6","","","","0"
"0x0208B25C","0x8B13C","0x0208B274","24","FUN_0208B25C","mechanical","","7","1","0","0x020836E6","","","","0"
