"address","offset","partition_end","partition_size","name","confidence","tags","instructions","caller_count","callee_count","callers","callees","string_refs","indirect_string_refs","component"
"0x0207068A","0x7056A","0x02070710","134","FUN_0207068A","mechanical","","40","2","10","0x0206B582|0x020727CE","0x0203B316|0x0203EA64|0x0203EA86|0x0203EAAC|0x0206469A|0x0206DC5E|0x0206FFB2|0x020700CC|0x02070426|0x02070636","","","0"
"0x02070710","0x705F0","0x02070828","280","FUN_02070710","mechanical","","91","1","9","0x02072304","0x020003B2|0x0203E90C|0x0203E920|0x020659F4|0x0206694A|0x02067D80|0x02067F1E|0x0206DCBE|0x0206EED2","","","0"
"0x02070828","0x70708","0x0207090E","230","FUN_02070828","mechanical","","76","2","5","0x020709E0|0x02071804","0x020003B2|0x0203E920|0x020659F4|0x02066F84|0x0206C3B2","","","0"
"0x0207090E","0x707EE","0x02070940","50","FUN_0207090E","mechanical","","14","2","4","0x020709E0|0x02071804","0x020003B2|0x0203E92C|0x0203E938|0x020659F4","","","0"
"0x02070940","0x70820","0x020709E0","160","FUN_02070940","mechanical","","55","2","2","0x020709E0|0x02071804","0x0203F034|0x0206F0A2","","","0"
"0x020709E0","0x708C0","0x02070A6E","142","FUN_020709E0","mechanical","","47","2","8","0x020709E0|0x02071804","0x020003B2|0x020659F4|0x02070114|0x02070426|0x02070828|0x0207090E|0x02070940|0x020709E0","","","0"
"0x02070A6E","0x7094E","0x02070AA8","58","FUN_02070A6E","mechanical","","19","2","0","0x02070AA8|0x02071804","","","","0"
"0x02070AA8","0x70988","0x02070B58","176","FUN_02070AA8","mechanical","","65","2","5","0x02070B58|0x02071CBE","0x0203E90C|0x0206C3B2|0x0206CC9E|0x0206F222|0x02070A6E","","","0"
"0x02070B58","0x70A38","0x02070BB8","96","FUN_02070B58","mechanical","","37","3","3","0x02070B58|0x02071536|0x02071CBE","0x0203E86A|0x02070AA8|0x02070B58","","","0"
"0x02070BB8","0x70A98","0x02070C92","218","FUN_02070BB8","mechanical","","70","2","8","0x02070BB8|0x02070C92","0x020003B2|0x0203CCF0|0x0203E90C|0x0203E920|0x020659F4|0x0206C3B2|0x0206F148|0x02070BB8","","","0"
"0x02070C92","0x70B72","0x02071536","2212","FUN_02070C92","mechanical","","728","1","24","0x02071804","0x020003B2|0x0203E508|0x0203E86A|0x0203EA64|0x0203EA78|0x0203F050|0x0203F0B0|0x020659F4|0x020676C8|0x02069818|0x0206B3EC|0x0206C3B2|0x0206DE4A|0x0206EEFE|0x0206F08C|0x0206F0A2|0x0206F398|0x0206F3D8|0x0206F55E|0x0206F5FC|0x0206F9BC|0x0207045A|0x02070636|0x02070BB8","","","0"
