"address","offset","partition_end","partition_size","name","confidence","tags","instructions","caller_count","callee_count","callers","callees","string_refs","indirect_string_refs","component"
"0x02012686","0x12566","0x020127B8","306","FUN_02012686","mechanical","","128","2","3","0x020127B8|0x020128C2","0x0200A5EC|0x0200BA3E|0x0204E4BA","","","0"
"0x020127B8","0x12698","0x02012892","218","FUN_020127B8","mechanical","","85","2","7","0x020127B8|0x020128C2","0x0200A614|0x0200DE02|0x020125D2|0x02012602|0x02012686|0x020127B8|0x0204E5A8","","","0"
"0x02012892","0x12772","0x020128C2","48","FUN_02012892","mechanical","","22","2","0","0x020128C2|0x02015364","","","","0"
"0x020128C2","0x127A2","0x02012E5E","1436","FUN_020128C2","mechanical","","510","1","12","0x020128C2","0x0200A5EC|0x0200A614|0x0200A97C|0x0200B6A2|0x0200BD98|0x020125D2|0x02012602|0x02012686|0x020127B8|0x02012892|0x020128C2|0x0204E5A8","","","0"
"0x02012E5E","0x12D3E","0x02012F84","294","FUN_02012E5E","mechanical","","106","2","1","0x02012F9C|0x02016276","0x0200A97C","","","0"
"0x02012F84","0x12E64","0x02012F9C","24","FUN_02012F84","mechanical","","8","6","0","0x02012F9C|0x02016276|0x0201763E|0x02017E8A|0x0201A354|0x0201BC48","","","","0"
"0x02012F9C","0x12E7C","0x020151C6","8746","FUN_02012F9C","mechanical","","3017","1","11","0x02012F9C","0x0200AB0E|0x0200BA3E|0x0200DDB8|0x0200E1A2|0x0200E1CA|0x0200E738|0x0200E810|0x0201078A|0x02012E5E|0x02012F84|0x02012F9C","","","0"
"0x020151C6","0x150A6","0x02015266","160","FUN_020151C6","mechanical","","53","2","1","0x02015266|0x02017E8A","0x0200AC80","","","0"
"0x02015266","0x15146","0x020152B4","78","FUN_02015266","mechanical","","31","4","2","0x020154F6|0x02016276|0x0201763E|0x02017E8A","0x0200AD6C|0x020151C6","","","0"
"0x020152B4","0x15194","0x020152E4","48","FUN_020152B4","mechanical","","21","4","1","0x020154F6|0x02016276|0x0201763E|0x02017E8A","0x0200AB0E","","","0"
"0x020152E4","0x151C4","0x02015364","128","FUN_020152E4","mechanical","","42","3","1","0x020154F6|0x02016276|0x02017E8A","0x0204ECF6","","","0"
"0x02015364","0x15244","0x0201542C","200","FUN_02015364","mechanical","","81","1","1","0x020154F6","0x02012892","","","0"
"0x0201542C","0x1530C","0x020154F6","202","FUN_0201542C","mechanical","","79","1","0","0x020154F6","","","","0"
"0x020154F6","0x153D6","0x02016246","3408","FUN_020154F6","mechanical","","1193","4","12","0x020154F6|0x02016276|0x0201763E|0x02017E8A","0x0200A97C|0x0200AC28|0x0200B6A2|0x0200BD98|0x0200CAD0|0x0201078A|0x02015266|0x020152B4|0x020152E4|0x02015364|0x0201542C|0x020154F6","","","0"
"0x02016246","0x16126","0x02016276","48","FUN_02016246","mechanical","","23","1","0","0x02016276","","","","0"
"0x02016276","0x16156","0x02017390","4378","FUN_02016276","mechanical","","1493","1","19","0x02016276","0x0200A97C|0x0200AB0E|0x0200AC28|0x0200B6A2|0x0200BD98|0x0200CAD0|0x0200DDB8|0x0200E1A2|0x0200E738|0x0200E7E4|0x0200E810|0x02012E5E|0x02012F84|0x02015266|0x020152B4|0x020152E4|0x020154F6|0x02016246|0x02016276","","","0"
"0x02017390","0x17270","0x02017528","408","FUN_02017390","mechanical","","150","1","3","0x02017E8A","0x0200B6A2|0x0200BA3E|0x0200BD98","","","0"
"0x02017528","0x17408","0x0201763E","278","FUN_02017528","mechanical","","105","1","0","0x0201763E","","","","0"
"0x0201763E","0x1751E","0x02017C72","1588","FUN_0201763E","mechanical","","570","1","14","0x02017E8A","0x0200A556|0x0200A5EC|0x0200A614|0x0200A97C|0x0200AB0E|0x0200B6A2|0x0200E1CA|0x0200E738|0x0200E810|0x02012F84|0x02015266|0x020152B4|0x020154F6|0x02017528","","","0"
"0x02017C72","0x17B52","0x02017E8A","536","FUN_02017C72","mechanical","","185","1","7","0x02017E8A","0x0200DE02|0x0200F892|0x0200F8E6|0x0200F908|0x0200FE96|0x0200FFAC|0x02010A3C","","","0"
"0x02017E8A","0x17D6A","0x02019676","6124","FUN_02017E8A","mechanical","","2065","1","20","0x02017E8A","0x0200A556|0x0200A97C|0x0200AB0E|0x0200AD6C|0x0200B6A2|0x0200BA3E|0x0200BD98|0x0200E1CA|0x0200E738|0x0200E810|0x02012F84|0x020151C6|0x02015266|0x020152B4|0x020152E4|0x020154F6|0x02017390|0x0201763E|0x02017C72|0x02017E8A","","","0"
"0x02019676","0x19556","0x020196EC","118","FUN_02019676","mechanical","","46","1","2","0x02019676","0x0200A614|0x02019676","","","0"
"0x020196EC","0x195CC","0x0201971A","46","FUN_020196EC","mechanical","","20","4","0","0x0201A354|0x0201BC48|0x0201C916|0x0201DD36","","","","0"
"0x0201971A","0x195FA","0x02019732","24","FUN_0201971A","mechanical","","11","2","1","0x0201A354|0x0201BC48","0x0200A97C","","","0"
"0x02019732","0x19612","0x02019756","36","FUN_02019732","mechanical","","15","7","0","0x0201A354|0x0201AD82|0x0201B1D0|0x0201BB60|0x0202D56A|0x0202DD80|0x0202DE2A","","","","0"
"0x02019756","0x19636","0x02019778","34","FUN_02019756","mechanical","","13","2","0","0x0201A354|0x0201BC48","","","","0"
"0x02019778","0x19658","0x02019854","220","FUN_02019778","mechanical","","85","2","1","0x0201A354|0x0201DD36","0x02009F58","","","0"
"0x02019854","0x19734","0x02019940","236","FUN_02019854","mechanical","","89","3","1","0x0201A354|0x0201C916|0x0201DD36","0x02009F58","","","0"
"0x02019940","0x19820","0x02019AC4","388","FUN_02019940","mechanical","","126","1","1","0x02019AC4","0x0204ECF6","","","0"
"0x02019AC4","0x199A4","0x0201A32C","2152","FUN_02019AC4","mechanical","","721","3","2","0x02019AC4|0x0201A32C|0x0201F656","0x02019940|0x02019AC4","","","0"
"0x0201A32C","0x1A20C","0x0201A354","40","FUN_0201A32C","mechanical","","15","1","1","0x0201A354","0x02019AC4","","","0"
"0x0201A354","0x1A234","0x0201AD7A","2598","FUN_0201A354","mechanical","","897","2","31","0x0201A354|0x0201C916","0x02009F58|0x0200A390|0x0200B2FE|0x0200BA3E|0x0200C3AA|0x0200DDA6|0x0200DDB8|0x0200DE1C|0x0200E192|0x0200E1A2|0x0200E1CA|0x0200E738|0x0200E810|0x0200F892|0x0200F8E6|0x0200F908|0x0200FE96|0x0200FF3A|0x0200FF9A|0x0200FFAC|0x0201078A|0x02010A3C|0x02012F84|0x020196EC|0x0201971A|0x02019732|0x02019756|0x02019778|0x02019854|0x0201A32C|0x0201A354","","","0"
"0x0201AD7A","0x1AC5A","0x0201AD82","8","FUN_0201AD7A","mechanical","","4","1","0","0x0201AD82","","","","0"
"0x0201AD82","0x1AC62","0x0201B1D0","1102","FUN_0201AD82","mechanical","","412","1","10","0x0201AD82","0x0200A614|0x0200A6E4|0x0200A6F0|0x0200A6FC|0x0200A702|0x0200BA36|0x0201077E|0x02019732|0x0201AD7A|0x0201AD82","","","0"
"0x0201B1D0","0x1B0B0","0x0201B240","112","FUN_0201B1D0","mechanical","","44","2","2","0x0201B1D0|0x0202D56A","0x02019732|0x0201B1D0","","","0"
"0x0201B240","0x1B120","0x0201B27A","58","FUN_0201B240","mechanical","","22","2","2","0x0201B27A|0x0201B2DC","0x02009F58|0x0200AA62","","","0"
"0x0201B27A","0x1B15A","0x0201B2DC","98","FUN_0201B27A","mechanical","","36","13","5","0x0201B2DC|0x0201BC48|0x0201E68E|0x0201E868|0x02020700|0x020293FE|0x020296DC|0x0202A4BE|0x0202C974|0x0202D18C|0x0202D56A|0x0202DAAC|0x0202DFC0","0x0200AEF0|0x0200AF4C|0x0200C53C|0x0200CAEC|0x0201B240","","","0"
"0x0201B2DC","0x1B1BC","0x0201B3A2","198","FUN_0201B2DC","mechanical","","75","12","9","0x0201B2DC|0x0201BC48|0x0201DC4E|0x0201DD36|0x0201E68E|0x02020700|0x02029176|0x020293FE|0x020296DC|0x0202A4BE|0x0202DAAC|0x0202DFC0","0x0200AEF0|0x0200AF4C|0x0200AF74|0x0200BA36|0x0200C53C|0x0200CAEC|0x0201B240|0x0201B27A|0x0201B2DC","","","0"
"0x0201B3A2","0x1B282","0x0201B44E","172","FUN_0201B3A2","mechanical","","65","4","3","0x0201B814|0x0201BA00|0x0201BAB0|0x0201BC48","0x02009F58|0x0200A3E2|0x0200C386","","","0"
"0x0201B44E","0x1B32E","0x0201B814","966","FUN_0201B44E","mechanical","","333","2","1","0x0201B814|0x0202DD80","0x0201078A","","","0"
"0x0201B814","0x1B6F4","0x0201B8EE","218","FUN_0201B814","mechanical","","76","2","6","0x0201BA00|0x0201BAB0","0x02009F58|0x0200AA6C|0x0200AB7A|0x0200CAEC|0x0201B3A2|0x0201B44E","","","0"
"0x0201B8EE","0x1B7CE","0x0201BA00","274","FUN_0201B8EE","mechanical","","96","3","2","0x0201BA00|0x0201BAB0|0x0201BC48","0x02009F58|0x0201078A","","","0"
"0x0201BA00","0x1B8E0","0x0201BAB0","176","FUN_0201BA00","mechanical","","64","1","5","0x0201BB60","0x0200AEF0|0x0200CAEC|0x0201B3A2|0x0201B814|0x0201B8EE","","","0"
"0x0201BAB0","0x1B990","0x0201BB60","176","FUN_0201BAB0","mechanical","","64","1","5","0x0201BB60","0x0200AEF0|0x0200CAEC|0x0201B3A2|0x0201B814|0x0201B8EE","","","0"
"0x0201BB60","0x1BA40","0x0201BC48","232","FUN_0201BB60","mechanical","","77","1","3","0x0202CC7E","0x02019732|0x0201BA00|0x0201BAB0","","","0"
