"address","offset","partition_end","partition_size","name","confidence","tags","instructions","caller_count","callee_count","callers","callees","string_refs","indirect_string_refs","component"
"0x0202F372","0x2F252","0x0202F394","34","FUN_0202F372","mechanical","","10","4","0","0x0202F67E|0x02039F62|0x0203A2A0|0x0208FD5C","","","","0"
"0x0202F394","0x2F274","0x0202F39E","10","FUN_0202F394","mechanical","","3","6","0","0x020310A0|0x02043DB0|0x0208F56E|0x0208FB2C|0x0208FBB8|0x0208FD5C","","","","0"
"0x0202F39E","0x2F27E","0x0202F3BE","32","FUN_0202F39E","mechanical","","14","2","1","0x0208F56E|0x0208FD5C","0x02003874","","","0"
"0x0202F3BE","0x2F29E","0x0202F3D2","20","FUN_0202F3BE","mechanical","","5","2","0","0x0202F67E|0x0203A2A0","","","","0"
"0x0202F3D2","0x2F2B2","0x0202F430","94","FUN_0202F3D2","mechanical","","34","4","1","0x0202F48A|0x0202F518|0x0202F67E|0x02039F62","0x02005D92","","","0"
"0x0202F430","0x2F310","0x0202F44C","28","FUN_0202F430","mechanical","","8","4","1","0x0202F67E|0x02039F62|0x0203A2A0|0x0208FD5C","0x02005BD4","","","0"
"0x0202F44C","0x2F32C","0x0202F48A","62","FUN_0202F44C","mechanical","","20","2","0","0x0202F67E|0x02039F62","","","","0"
"0x0202F48A","0x2F36A","0x0202F4E0","86","FUN_0202F48A","mechanical","","30","2","3","0x0202F518|0x02039F62","0x02005E40|0x0202F3D2|0x0204ECF6","","","0"
"0x0202F4E0","0x2F3C0","0x0202F518","56","FUN_0202F4E0","mechanical","","24","2","2","0x0202F518|0x0202FC34","0x02005BAE|0x02005E40","","","0"
"0x0202F518","0x2F3F8","0x0202F67E","358","FUN_0202F518","mechanical","","112","1","5","0x02039F62","0x02005BAE|0x02005E40|0x0202F3D2|0x0202F48A|0x0202F4E0","","","0"
"0x0202F67E","0x2F55E","0x0202F72A","172","FUN_0202F67E","mechanical","","50","2","7","0x0202F8E4|0x0203A2A0","0x0202F372|0x0202F3BE|0x0202F3D2|0x0202F430|0x0202F44C|0x02067D80|0x02067F1E","","","0"
"0x0202F72A","0x2F60A","0x0202F766","60","FUN_0202F72A","mechanical","","20","1","2","0x0202F8E4","0x020003B2|0x020659F4","","","0"
"0x0202F766","0x2F646","0x0202F79A","52","FUN_0202F766","mechanical","","17","1","0","0x0202F8E4","","","","0"
"0x0202F79A","0x2F67A","0x0202F7A2","8","FUN_0202F79A","mechanical","","3","9","1","0x0202F7A2|0x02033544|0x020364F4|0x02036C60|0x020377F2|0x020378A8|0x020379BA|0x02037B04|0x02037CC4","0x02000976","","","0"
"0x0202F7A2","0x2F682","0x0202F8BA","280","FUN_0202F7A2","mechanical","","95","3","3","0x0202F8BA|0x0202F8E4|0x0208FD5C","0x02005D92|0x0202F79A|0x0206694A","","","0"
"0x0202F8BA","0x2F79A","0x0202F8E4","42","FUN_0202F8BA","mechanical","","14","1","1","0x0202F8E4","0x0202F7A2","","","0"
"0x0202F8E4","0x2F7C4","0x0202FBB4","720","FUN_0202F8E4","mechanical","","230","1","13","0x0208FD5C","0x02003874|0x02005BAE|0x02005BD4|0x02005DB8|0x02005E40|0x0202F67E|0x0202F72A|0x0202F766|0x0202F7A2|0x0202F8BA|0x02063530|0x0206469A|0x0208FD4C","","","0"
"0x0202FBB4","0x2FA94","0x0202FBCA","22","FUN_0202FBB4","mechanical","","10","3","1","0x0202FBCA|0x0202FC34|0x020310A0","0x02005BD4","","","0"
"0x0202FBCA","0x2FAAA","0x0202FC34","106","FUN_0202FBCA","mechanical","","37","1","4","0x0202FC34","0x02003874|0x02005BAE|0x0202FBB4|0x0204E6C2","","","0"
"0x0202FC34","0x2FB14","0x0202FD7A","326","FUN_0202FC34","mechanical","","112","2","9","0x02039F62|0x020903CC","0x02005BAE|0x02005BD4|0x02005D92|0x02005E40|0x0202F4E0|0x0202FBB4|0x0202FBCA|0x02063530|0x0206469A","","","0"
"0x0202FD7A","0x2FC5A","0x0202FD84","10","FUN_0202FD7A","mechanical","","3","3","1","0x0204031A|0x02043CC4|0x02090362","0x02068BEC","","","0"
"0x0202FD84","0x2FC64","0x0202FED0","332","FUN_0202FD84","mechanical","","105","1","2","0x0202FED0","0x02000D68|0x0204E4BA","","","0"
"0x0202FED0","0x2FDB0","0x020301AA","730","FUN_0202FED0","mechanical","","229","1","8","0x0202FED0","0x02000D68|0x0202BF9A|0x0202EFD4|0x0202FD84|0x0202FED0|0x0204E4BA|0x0206854A|0x02090490","","","0"
"0x020301AA","0x3008A","0x020303FE","596","FUN_020301AA","mechanical","","198","1","14","0x020301AA","0x020003B2|0x02003874|0x0202E8FC|0x020301AA|0x0204E482|0x0204E4BA|0x0204ECF6|0x02063530|0x0206469A|0x020659F4|0x0206694A|0x02066950|0x02068084|0x020686C8","0x0205BC24|0x0205BD4E","","0"
"0x020303FE","0x302DE","0x02030450","82","FUN_020303FE","mechanical","","30","1","2","0x02041FE6","0x02067D80|0x02067F1E","","","0"
"0x02030450","0x30330","0x020304A0","80","FUN_02030450","mechanical","","31","2","2","0x0203A9F8|0x02041FE6","0x02067D80|0x02067F1E","","","0"
"0x020304A0","0x30380","0x020304F2","82","FUN_020304A0","mechanical","","30","2","2","0x0203A9F8|0x02041FE6","0x02067D80|0x02067F1E","","","0"
"0x020304F2","0x303D2","0x0203053A","72","FUN_020304F2","mechanical","","27","1","2","0x02041FE6","0x02067D80|0x02067F1E","","","0"
"0x0203053A","0x3041A","0x020305D8","158","FUN_0203053A","mechanical","","59","1","3","0x0203053A","0x0203053A|0x0204E6B6|0x02064D9E","0x0205BE94","","0"
"0x020305D8","0x304B8","0x020305F2","26","FUN_020305D8","mechanical","","11","2","0","0x020305F2|0x02030648","","","","0"
"0x020305F2","0x304D2","0x02030648","86","FUN_020305F2","mechanical","","33","4","4","0x02030846|0x02030956|0x020309BA|0x02030CB2","0x020305D8|0x0204E4BA|0x0204E594|0x0204E6B6","","","0"
"0x02030648","0x30528","0x020306CE","134","FUN_02030648","mechanical","","57","6","1","0x020306EA|0x02030794|0x020308EE|0x02030CB2|0x02030E5E|0x020310A0","0x020305D8","","","0"
"0x020306CE","0x305AE","0x020306EA","28","FUN_020306CE","mechanical","","8","5","0","0x020306EA|0x020307FC|0x02030846|0x020309BA|0x02030CB2","","","","0"
"0x020306EA","0x305CA","0x02030794","170","FUN_020306EA","mechanical","","66","2","3","0x02030846|0x020309BA","0x02003874|0x02030648|0x020306CE","","","0"
"0x02030794","0x30674","0x020307FC","104","FUN_02030794","mechanical","","42","2","2","0x020307FC|0x0203082C","0x02003874|0x02030648","","","0"
"0x020307FC","0x306DC","0x0203082C","48","FUN_020307FC","mechanical","","18","3","2","0x02030846|0x02030956|0x020309BA","0x020306CE|0x02030794","","","0"
"0x0203082C","0x3070C","0x02030846","26","FUN_0203082C","mechanical","","10","2","1","0x02030846|0x020309BA","0x02030794","","","0"
"0x02030846","0x30726","0x020308EE","168","FUN_02030846","mechanical","","67","1","5","0x020309BA","0x020305F2|0x020306CE|0x020306EA|0x020307FC|0x0203082C","","","0"
"0x020308EE","0x307CE","0x02030956","104","FUN_020308EE","mechanical","","40","1","2","0x02030956","0x02003874|0x02030648","","","0"
"0x02030956","0x30836","0x020309BA","100","FUN_02030956","mechanical","","41","1","3","0x020309BA","0x020305F2|0x020307FC|0x020308EE","","","0"
"0x020309BA","0x3089A","0x02030C88","718","FUN_020309BA","mechanical","","280","1","15","0x020309BA","0x02005ABA|0x02005D92|0x02005DB8|0x020305F2|0x020306CE|0x020306EA|0x020307FC|0x0203082C|0x02030846|0x02030956|0x020309BA|0x0204E4BA|0x0204E5A8|0x02063530|0x0206469A","0x0205BE94","","0"
"0x02030C88","0x30B68","0x02030CB2","42","FUN_02030C88","mechanical","","15","1","2","0x02030CB2","0x02067D80|0x02067F1E","","","0"
"0x02030CB2","0x30B92","0x02030E5E","428","FUN_02030CB2","mechanical","","162","1","9","0x02030CB2","0x02003874|0x020305F2|0x02030648|0x020306CE|0x02030C88|0x02030CB2|0x0204E5A8|0x02063530|0x0206469A","","","0"
"0x02030E5E","0x30D3E","0x02030EBC","94","FUN_02030E5E","mechanical","","37","1","1","0x020310A0","0x02030648","0x0205BE94","","0"
"0x02030EBC","0x30D9C","0x02030F58","156","FUN_02030EBC","mechanical","","46","1","3","0x020310A0","0x020017E2|0x02005BC2|0x02066F84","","","0"
"0x02030F58","0x30E38","0x02030F92","58","FUN_02030F58","mechanical","","21","2","0","0x02030F92|0x0203346A","","","","0"
"0x02030F92","0x30E72","0x02031034","162","FUN_02030F92","mechanical","audio|filesystem","60","4","1","0x020310A0|0x02033A1E|0x02040AFA|0x02041A00","0x02030F58","","0x0205BB4A|0x0205BEAE|0x02062559|0x02062576|0x02062580|0x020625FF|0x02062627|0x02062656|0x0206265B","0"
"0x02031034","0x30F14","0x020310A0","108","FUN_02031034","mechanical","","39","5","0","0x02033A1E|0x02040AFA|0x02041344|0x02041A00|0x02041EA0","","","","0"
"0x020310A0","0x30F80","0x020312DC","572","FUN_020310A0","mechanical","filesystem","191","2","16","0x020310A0|0x02040650","0x020003B2|0x02003874|0x02005ABA|0x02005BD4|0x0202F394|0x0202FBB4|0x02030648|0x02030E5E|0x02030EBC|0x02030F92|0x020310A0|0x0204E5A8|0x0206469A|0x02064D9E|0x020659F4|0x02066F84","","0x02062531","0"
"0x020312DC","0x311BC","0x020312E8","12","FUN_020312DC","mechanical","","6","3","0","0x02031526|0x02031668|0x02031A78","","","","0"
"0x020312E8","0x311C8","0x020312F2","10","FUN_020312E8","mechanical","","4","9","0","0x02031358|0x02031668|0x02031A78|0x02032908|0x02033B04|0x02034484|0x020344AC|0x02035A10|0x02062A38","","","","0"
"0x020312F2","0x311D2","0x02031308","22","FUN_020312F2","mechanical","","9","11","0","0x02031308|0x02031358|0x02031668|0x02031A78|0x020323AC|0x02032908|0x020329BA|0x020344AC|0x02035A10|0x020361B0|0x02062A38","","","","0"
"0x02031308","0x311E8","0x02031358","80","FUN_02031308","mechanical","","36","1","1","0x02031358","0x020312F2","","","0"
"0x02031358","0x31238","0x02031506","430","FUN_02031358","mechanical","","141","2","5","0x02031358|0x02031668","0x020312E8|0x020312F2|0x02031308|0x02031358|0x0204E482","","","0"
