"address","offset","partition_end","partition_size","name","confidence","tags","instructions","caller_count","callee_count","callers","callees","string_refs","indirect_string_refs","component"
"0x020329BA","0x3289A","0x02032E62","1192","FUN_020329BA","mechanical","","428","10","7","0x02032F96|0x02033544|0x0203384C|0x020364F4|0x02036C60|0x020377F2|0x020378A8|0x020379BA|0x02037B04|0x02037CC4","0x020312F2|0x02031612|0x02032800|0x02032908|0x0203296E|0x02032994|0x0204E4BA","","","0"
"0x02032E62","0x32D42","0x02032F0C","170","FUN_02032E62","mechanical","","65","4","3","0x02032F96|0x02033D98|0x02033FF0|0x02035CA2","0x02031612|0x0203223A|0x02032800","","","0"
"0x02032F0C","0x32DEC","0x02032F96","138","FUN_02032F0C","mechanical","","48","7","3","0x02032F96|0x02033FF0|0x020341D8|0x02035CA2|0x02035F62|0x0203614C|0x020361B0","0x020315D0|0x02031A20|0x0204ECF6","","","0"
"0x02032F96","0x32E76","0x020330CE","312","FUN_02032F96","mechanical","","114","1","13","0x02032F96","0x020003B2|0x0203223A|0x020329BA|0x02032E62|0x02032F0C|0x02032F96|0x0204E482|0x0204E4BA|0x0204E6B6|0x0204ECF6|0x0206469A|0x02064D9E|0x020659F4","","","0"
"0x020330CE","0x32FAE","0x0203320A","316","FUN_020330CE","mechanical","","110","1","3","0x020330CE","0x02031612|0x020330CE|0x02062B4A","","","0"
"0x0203320A","0x330EA","0x02033218","14","FUN_0203320A","mechanical","","4","4","1","0x02034D38|0x02036F7C|0x02037696|0x02038140","0x02064D9E","","","0"
"0x02033218","0x330F8","0x02033222","10","FUN_02033218","mechanical","","3","5","1","0x02034D38|0x02036042|0x02036F7C|0x02037696|0x02038140","0x0206469A","","","0"
"0x02033222","0x33102","0x0203341E","508","FUN_02033222","mechanical","","183","2","1","0x02034852|0x02035CA2","0x0204ECF6","","","0"
"0x0203341E","0x332FE","0x02033448","42","FUN_0203341E","mechanical","","14","2","0","0x02034852|0x02035CA2","","","","0"
"0x02033448","0x33328","0x0203346A","34","FUN_02033448","mechanical","","14","2","1","0x02033544|0x02034852","0x0204E6B6","","","0"
"0x0203346A","0x3334A","0x02033530","198","FUN_0203346A","mechanical","","63","8","8","0x02033544|0x020364F4|0x02036C60|0x020377F2|0x020378A8|0x020379BA|0x02037B04|0x02037CC4","0x020003B2|0x02030F58|0x02032994|0x0204E4BA|0x0204E6B6|0x0206469A|0x02064D9E|0x020659F4","","","0"
"0x02033530","0x33410","0x02033544","20","FUN_02033530","mechanical","","8","2","0","0x02033544|0x02034852","","","","0"
"0x02033544","0x33424","0x02033680","316","FUN_02033544","mechanical","","110","1","12","0x02034852","0x0202F79A|0x0203223A|0x02032994|0x020329BA|0x02033448|0x0203346A|0x02033530|0x0204E482|0x0204E4BA|0x0204E594|0x0204E6B6|0x0204ECF6","","","0"
"0x02033680","0x33560","0x020336E8","104","FUN_02033680","mechanical","","36","1","1","0x02034852","0x0204ECF6","","","0"
"0x020336E8","0x335C8","0x020337AA","194","FUN_020336E8","mechanical","","73","5","4","0x0203384C|0x02035862|0x02035A10|0x0203793E|0x02037B04","0x0204E4BA|0x0204ECF6|0x0206469A|0x02064D9E","","","0"
"0x020337AA","0x3368A","0x020337E2","56","FUN_020337AA","mechanical","","23","3","0","0x0203384C|0x02035862|0x02035A10","","","","0"
"0x020337E2","0x336C2","0x0203384C","106","FUN_020337E2","mechanical","","39","2","2","0x0203384C|0x020364A2","0x02032994|0x0204E6B6","","","0"
"0x0203384C","0x3372C","0x020338DE","146","FUN_0203384C","mechanical","","53","2","6","0x02033964|0x02034852","0x020329BA|0x020336E8|0x020337AA|0x020337E2|0x0204E482|0x0204E4BA","","","0"
"0x020338DE","0x337BE","0x020338F8","26","FUN_020338DE","mechanical","","10","2","0","0x02034852|0x02035A10","","","","0"
"0x020338F8","0x337D8","0x02033950","88","FUN_020338F8","mechanical","","31","2","0","0x02033964|0x020364A2","","","","0"
"0x02033950","0x33830","0x02033964","20","FUN_02033950","mechanical","","10","1","0","0x02033964","","","","0"
"0x02033964","0x33844","0x02033A06","162","FUN_02033964","mechanical","","68","4","4","0x020341D8|0x020344AC|0x02035CA2|0x02037F9C","0x0203223A|0x0203384C|0x020338F8|0x02033950","","","0"
"0x02033A06","0x338E6","0x02033A1E","24","FUN_02033A06","mechanical","","10","4","1","0x020341D8|0x020344AC|0x02035054|0x02037E04","0x02031A70","","","0"
"0x02033A1E","0x338FE","0x02033A8E","112","FUN_02033A1E","mechanical","","40","3","3","0x02033D98|0x02035054|0x02037E04","0x0200598C|0x02030F92|0x02031034","","","0"
"0x02033A8E","0x3396E","0x02033AC2","52","FUN_02033A8E","mechanical","","23","2","1","0x02033D98|0x02035054","0x020323AC","","","0"
"0x02033AC2","0x339A2","0x02033ADA","24","FUN_02033AC2","mechanical","","9","2","1","0x02033D98|0x02035054","0x0203223A","","","0"
"0x02033ADA","0x339BA","0x02033B04","42","FUN_02033ADA","mechanical","","16","2","0","0x02033B04|0x02033BFC","","","","0"
"0x02033B04","0x339E4","0x02033BFC","248","FUN_02033B04","mechanical","","95","2","4","0x02033D98|0x02035054","0x020312E8|0x02031612|0x02032800|0x02033ADA","","","0"
"0x02033BFC","0x33ADC","0x02033C7E","130","FUN_02033BFC","mechanical","","52","4","5","0x02033D98|0x020341D8|0x020344AC|0x02035054","0x020315D0|0x02031612|0x02031A70|0x02032800|0x02033ADA","","","0"
"0x02033C7E","0x33B5E","0x02033D98","282","FUN_02033C7E","mechanical","","108","1","2","0x02033D98","0x02031A70|0x0204ECF6","","","0"
"0x02033D98","0x33C78","0x02033FD0","568","FUN_02033D98","mechanical","","204","3","10","0x020341D8|0x020344AC|0x02037F9C","0x02031A20|0x02031A30|0x020324EA|0x02032E62|0x02033A1E|0x02033A8E|0x02033AC2|0x02033B04|0x02033BFC|0x02033C7E","","","0"
"0x02033FD0","0x33EB0","0x02033FF0","32","FUN_02033FD0","mechanical","","12","3","0","0x020341D8|0x020344AC|0x02035CA2","","","","0"
"0x02033FF0","0x33ED0","0x0203413A","330","FUN_02033FF0","mechanical","","132","3","4","0x020341D8|0x020344AC|0x02035CA2","0x02031612|0x02032800|0x02032E62|0x02032F0C","","","0"
"0x0203413A","0x3401A","0x020341D8","158","FUN_0203413A","mechanical","","59","4","3","0x020341D8|0x020344AC|0x02035F62|0x020361B0","0x0203227E|0x020322F0|0x020323AC","","","0"
"0x020341D8","0x340B8","0x02034484","684","FUN_020341D8","mechanical","","252","2","15","0x02034852|0x02038140","0x020315D0|0x02031A20|0x0203223A|0x0203251C|0x0203277A|0x02032F0C|0x02033964|0x02033A06|0x02033BFC|0x02033D98|0x02033FD0|0x02033FF0|0x0203413A|0x0204ECF6|0x02062A02","","","0"
"0x02034484","0x34364","0x020344AC","40","FUN_02034484","mechanical","","16","2","1","0x020344AC|0x020361B0","0x020312E8","","","0"
"0x020344AC","0x3438C","0x02034852","934","FUN_020344AC","mechanical","","336","1","17","0x02034852","0x020312E8|0x020312F2|0x020315D0|0x02031612|0x02031A20|0x0203223A|0x02033964|0x02033A06|0x02033BFC|0x02033D98|0x02033FD0|0x02033FF0|0x0203413A|0x02034484|0x0204E4BA|0x0204ECF6|0x02064D9E","","","0"
"0x02034852","0x34732","0x02034D28","1238","FUN_02034852","mechanical","","426","2","22","0x02034D28|0x02036428","0x020003B2|0x0203223A|0x02032994|0x02033222|0x0203341E|0x02033448|0x02033530|0x02033544|0x02033680|0x0203384C|0x020338DE|0x020341D8|0x020344AC|0x0204E4BA|0x0204E57C|0x0204E594|0x0204E6B6|0x0204E6F0|0x0204ECF6|0x0206469A|0x02064D9E|0x020659F4","","","0"
"0x02034D28","0x34C08","0x02034D38","16","FUN_02034D28","mechanical","","7","2","1","0x02034D38|0x02038140","0x02034852","","","0"
"0x02034D38","0x34C18","0x02034DB2","122","FUN_02034D38","mechanical","","53","4","4","0x02034D38|0x02036F7C|0x02037696|0x02038140","0x0203320A|0x02033218|0x02034D28|0x02034D38","","","0"
"0x02034DB2","0x34C92","0x02034E58","166","FUN_02034DB2","mechanical","","60","7","1","0x02034E58|0x020354D4|0x02037D64|0x02037EC0|0x02037F9C|0x02038140|0x02062EDE","0x0203227E","","","0"
"0x02034E58","0x34D38","0x02035054","508","FUN_02034E58","mechanical","","177","3","7","0x02034E58|0x02038140|0x02062C52","0x02031612|0x02032274|0x02034DB2|0x02034E58|0x0204E4BA|0x0204ECF6|0x02062A02","","","0"
"0x02035054","0x34F34","0x02035228","468","FUN_02035054","mechanical","","173","2","12","0x02035228|0x02035F62","0x020315D0|0x02031612|0x02031A20|0x02031A30|0x02031A70|0x020324EA|0x02033A06|0x02033A1E|0x02033A8E|0x02033AC2|0x02033B04|0x02033BFC","","","0"
"0x02035228","0x35108","0x020354D4","684","FUN_02035228","mechanical","","238","2","8","0x02035228|0x02038140","0x020315D0|0x02031612|0x02032274|0x0203251C|0x02035054|0x02035228|0x0204E4BA|0x02062A02","","","0"
"0x020354D4","0x353B4","0x02035730","604","FUN_020354D4","mechanical","","212","4","4","0x020354D4|0x02037EC0|0x02037F9C|0x02062EDE","0x02032274|0x02034DB2|0x020354D4|0x02062A02","","","0"
"0x02035730","0x35610","0x02035862","306","FUN_02035730","mechanical","","106","4","3","0x02035862|0x02035A10|0x0203793E|0x02037B04","0x02031612|0x02032800|0x0204E4BA","","","0"
"0x02035862","0x35742","0x02035A10","430","FUN_02035862","mechanical","","158","1","8","0x02035862","0x020336E8|0x020337AA|0x02035730|0x02035862|0x0204E4BA|0x0204E6B6|0x0206469A|0x02064D9E","","","0"
"0x02035A10","0x358F0","0x02035CA2","658","FUN_02035A10","mechanical","","241","1","14","0x02035A10","0x020312E8|0x020312F2|0x02031612|0x0203223A|0x02032800|0x020336E8|0x020337AA|0x020338DE|0x02035730|0x02035A10|0x0204E4BA|0x0204E6B6|0x0204ECF6|0x02064D9E","","","0"
"0x02035CA2","0x35B82","0x02035F62","704","FUN_02035CA2","mechanical","","252","2","17","0x02035CA2|0x02037696","0x020003B2|0x02031612|0x0203223A|0x02032800|0x02032994|0x02032E62|0x02032F0C|0x02033222|0x0203341E|0x02033964|0x02033FD0|0x02033FF0|0x02035CA2|0x0204ECF6|0x0206469A|0x02064D9E|0x020659F4","","","0"
"0x02035F62","0x35E42","0x02036042","224","FUN_02035F62","mechanical","","80","1","7","0x02036042","0x020315D0|0x0203227E|0x020323AC|0x02032F0C|0x0203413A|0x02035054|0x0206469A","","","0"
"0x02036042","0x35F22","0x02036064","34","FUN_02036042","mechanical","","15","2","4","0x02036042|0x02037696","0x02031506|0x02033218|0x02035F62|0x02036042","","","0"
"0x02036064","0x35F44","0x0203614C","232","FUN_02036064","mechanical","","90","2","1","0x02036064|0x02038140","0x02036064","","","0"
"0x0203614C","0x3602C","0x020361B0","100","FUN_0203614C","mechanical","","40","2","3","0x020361B0|0x02037EC0","0x02031612|0x02032800|0x02032F0C","","","0"
"0x020361B0","0x36090","0x0203640C","604","FUN_020361B0","mechanical","","199","1","12","0x020361B0","0x020312F2|0x020315D0|0x02031612|0x02032800|0x02032F0C|0x0203413A|0x02034484|0x0203614C|0x020361B0|0x0204ECF6|0x0206469A|0x02064D9E","","","0"
"0x0203640C","0x362EC","0x0203641A","14","FUN_0203640C","mechanical","","4","1","1","0x020368E0","0x02064D9E","","","0"
"0x0203641A","0x362FA","0x02036428","14","FUN_0203641A","mechanical","","4","1","1","0x020368E0","0x02064D9E","","","0"
"0x02036428","0x36308","0x020364A2","122","FUN_02036428","mechanical","","48","3","6","0x020367F8|0x02037696|0x02037CC4","0x020003B2|0x0203223A|0x02034852|0x0206469A|0x02064D9E|0x020659F4","","","0"
"0x020364A2","0x36382","0x020364F4","82","FUN_020364A2","mechanical","","36","2","2","0x020364F4|0x02038140","0x020337E2|0x020338F8","","","0"
"0x020364F4","0x363D4","0x020367F8","772","FUN_020364F4","mechanical","","271","4","8","0x020367F8|0x02036D48|0x02036E00|0x02036F7C","0x0202F79A|0x0203223A|0x020329BA|0x0203346A|0x020364A2|0x0204E482|0x0204E4BA|0x0204ECF6","","","0"
"0x020367F8","0x366D8","0x020368E0","232","FUN_020367F8","mechanical","","76","1","2","0x020368E0","0x02036428|0x020364F4","","","0"
"0x020368E0","0x367C0","0x02036A86","422","FUN_020368E0","mechanical","","148","1","6","0x020368E0","0x0203640C|0x0203641A|0x020367F8|0x020368E0|0x0204ECF6|0x0206469A","","","0"
"0x02036A86","0x36966","0x02036B20","154","FUN_02036A86","mechanical","","56","1","0","0x02036B20","","","","0"
"0x02036B20","0x36A00","0x02036BD4","180","FUN_02036B20","mechanical","","66","2","4","0x02036D48|0x02036F7C","0x020315D0|0x02036A86|0x0204E4BA|0x0204ECF6","","","0"
"0x02036BD4","0x36AB4","0x02036C16","66","FUN_02036BD4","mechanical","","24","2","0","0x02036C16|0x02037B04","","","","0"
"0x02036C16","0x36AF6","0x02036C60","74","FUN_02036C16","mechanical","","22","2","2","0x02036D48|0x02036F7C","0x02036BD4|0x0204E4BA","","","0"
"0x02036C60","0x36B40","0x02036CD0","112","FUN_02036C60","mechanical","","41","1","3","0x02036CD0","0x0202F79A|0x020329BA|0x0203346A","","","0"
"0x02036CD0","0x36BB0","0x02036D48","120","FUN_02036CD0","mechanical","","40","3","7","0x02036D48|0x02036E00|0x02036F7C","0x020003B2|0x0203223A|0x02036C60|0x0204E4BA|0x0206469A|0x02064D9E|0x020659F4","","","0"
"0x02036D48","0x36C28","0x02036E00","184","FUN_02036D48","mechanical","","63","1","6","0x02036F7C","0x0203223A|0x020364F4|0x02036B20|0x02036C16|0x02036CD0|0x0204E4BA","","","0"
"0x02036E00","0x36CE0","0x02036E86","134","FUN_02036E00","mechanical","","57","4","3","0x02036E86|0x02036EB0|0x02036ED4|0x02036EF6","0x0203223A|0x020364F4|0x02036CD0","","","0"
"0x02036E86","0x36D66","0x02036EB0","42","FUN_02036E86","mechanical","","17","1","1","0x02036F7C","0x02036E00","","","0"
"0x02036EB0","0x36D90","0x02036ED4","36","FUN_02036EB0","mechanical","","17","2","1","0x02036F18|0x02036F7C","0x02036E00","","","0"
"0x02036ED4","0x36DB4","0x02036EF6","34","FUN_02036ED4","mechanical","","16","2","1","0x02036F18|0x02036F7C","0x02036E00","","","0"
"0x02036EF6","0x36DD6","0x02036F18","34","FUN_02036EF6","mechanical","","15","1","1","0x02036F7C","0x02036E00","","","0"
"0x02036F18","0x36DF8","0x02036F7C","100","FUN_02036F18","mechanical","","37","1","2","0x02036F7C","0x02036EB0|0x02036ED4","","","0"
"0x02036F7C","0x36E5C","0x02037492","1302","FUN_02036F7C","mechanical","","422","1","16","0x02036F7C","0x0203223A|0x0203320A|0x02033218|0x02034D38|0x020364F4|0x02036B20|0x02036C16|0x02036CD0|0x02036D48|0x02036E86|0x02036EB0|0x02036ED4|0x02036EF6|0x02036F18|0x02036F7C|0x0204E4BA","","","0"
