"address","offset","partition_end","partition_size","name","confidence","tags","instructions","caller_count","callee_count","callers","callees","string_refs","indirect_string_refs","component"
"0x020292B2","0x29192","0x020292C2","16","FUN_020292B2","mechanical","","6","3","1","0x0202964A|0x020296DC|0x0202A4BE","0x0201E4FE","","","0"
"0x020292C2","0x291A2","0x020292D0","14","FUN_020292C2","mechanical","","6","2","1","0x020296DC|0x0202A4BE","0x0201E4FE","","","0"
"0x020292D0","0x291B0","0x020292DE","14","FUN_020292D0","mechanical","","6","3","1","0x02029622|0x020296DC|0x0202A4BE","0x0201E4FE","","","0"
"0x020292DE","0x291BE","0x02029314","54","FUN_020292DE","mechanical","","19","4","1","0x020293FE|0x0202A4BE|0x0202CC7E|0x0202D56A","0x0200AEF0","","","0"
"0x02029314","0x291F4","0x02029386","114","FUN_02029314","mechanical","","45","1","5","0x02029386","0x02009F58|0x0200A756|0x0200AEF0|0x0200BA08|0x0200BBD0","","","0"
"0x02029386","0x29266","0x020293B8","50","FUN_02029386","mechanical","","18","5","1","0x020293D6|0x0202A4BE|0x0202C974|0x0202CC7E|0x0202D56A","0x02029314","","","0"
"0x020293B8","0x29298","0x020293D6","30","FUN_020293B8","mechanical","","11","1","0","0x0202A4BE","","","","0"
"0x020293D6","0x292B6","0x020293FE","40","FUN_020293D6","mechanical","","16","2","3","0x020293FE|0x0202A4BE","0x0201DC4E|0x0201F672|0x02029386","","","0"
"0x020293FE","0x292DE","0x02029622","548","FUN_020293FE","mechanical","","182","2","11","0x020296DC|0x0202A4BE","0x02005E54|0x0200AEF0|0x0201B27A|0x0201B2DC|0x0201DB96|0x0201DC4E|0x0201FAC8|0x02029270|0x020292DE|0x020293D6|0x0204E4BA","","","0"
"0x02029622","0x29502","0x02029636","20","FUN_02029622","mechanical","","8","2","1","0x020296DC|0x0202A4BE","0x020292D0","","","0"
"0x02029636","0x29516","0x0202964A","20","FUN_02029636","mechanical","","7","1","2","0x020296DC","0x02020A7E|0x0206469A","","","0"
"0x0202964A","0x2952A","0x0202969A","80","FUN_0202964A","mechanical","","31","2","9","0x020296DC|0x0202CC7E","0x0201FA76|0x020203A6|0x0202040C|0x0202041C|0x0202042C|0x0202043C|0x02029270|0x0202927E|0x020292B2","","","0"
"0x0202969A","0x2957A","0x020296A2","8","FUN_0202969A","mechanical","","3","1","1","0x020296DC","0x0201E5E8","","","0"
"0x020296A2","0x29582","0x020296CC","42","FUN_020296A2","mechanical","","16","2","2","0x020296DC|0x0202DFC0","0x0201E5F6|0x02020396","","","0"
"0x020296CC","0x295AC","0x020296DC","16","FUN_020296CC","mechanical","","6","2","1","0x020296DC|0x0202DFC0","0x0201E4FE","","","0"
"0x020296DC","0x295BC","0x02029B30","1108","FUN_020296DC","mechanical","","391","1","36","0x0202A4BE","0x02005E54|0x0201B27A|0x0201B2DC|0x0201C916|0x0201DB96|0x0201E5CE|0x0201E5DC|0x0201E67A|0x0201FA76|0x020203A6|0x020203F4|0x0202040C|0x0202041C|0x0202042C|0x0202043C|0x0202044C|0x020205B2|0x020205F0|0x02020700|0x02020A7E|0x02029270|0x0202927E|0x0202928C|0x0202929A|0x020292B2|0x020292C2|0x020292D0|0x020293FE|0x02029622|0x02029636|0x0202964A|0x0202969A|0x020296A2|0x020296CC|0x0206469A|0x02064D9E","","","0"
"0x02029B30","0x29A10","0x02029C2C","252","FUN_02029B30","mechanical","","76","1","5","0x0202A4BE","0x02005ABA|0x02005D92|0x02005E40|0x0201E868|0x02068084","","","0"
"0x02029C2C","0x29B0C","0x02029C60","52","FUN_02029C2C","mechanical","","16","1","0","0x0202A4BE","","","","0"
"0x02029C60","0x29B40","0x02029C6E","14","FUN_02029C60","mechanical","","5","3","0","0x0202A4BE|0x0202C974|0x0202DAAC","","","","0"
"0x02029C6E","0x29B4E","0x02029CAC","62","FUN_02029C6E","mechanical","","23","3","0","0x0202A4BE|0x0202C974|0x0202DAAC","","","","0"
"0x02029CAC","0x29B8C","0x02029CE6","58","FUN_02029CAC","mechanical","","21","1","1","0x0202A4BE","0x02029270","","","0"
"0x02029CE6","0x29BC6","0x02029CF4","14","FUN_02029CE6","mechanical","","4","2","0","0x0202A4BE|0x0202D56A","","","","0"
"0x02029CF4","0x29BD4","0x02029D08","20","FUN_02029CF4","mechanical","","6","1","0","0x0202A4BE","","","","0"
"0x02029D08","0x29BE8","0x02029D16","14","FUN_02029D08","mechanical","","4","2","0","0x0202A4BE|0x0202D56A","","","","0"
"0x02029D16","0x29BF6","0x02029D52","60","FUN_02029D16","mechanical","","19","2","3","0x0202A4BE|0x0202D56A","0x0200A244|0x0200AA62|0x02020610","","","0"
"0x02029D52","0x29C32","0x02029D7C","42","FUN_02029D52","mechanical","","12","1","0","0x0202A4BE","","","","0"
"0x02029D7C","0x29C5C","0x02029D8C","16","FUN_02029D7C","mechanical","","6","2","1","0x02029D8C|0x0202A4BE","0x0201E4FE","","","0"
"0x02029D8C","0x29C6C","0x02029DE2","86","FUN_02029D8C","mechanical","","27","1","2","0x0202A4BE","0x020205F0|0x02029D7C","","","0"
"0x02029DE2","0x29CC2","0x02029E8C","170","FUN_02029DE2","mechanical","","54","1","0","0x0202A4BE","","","","0"
"0x02029E8C","0x29D6C","0x02029EE4","88","FUN_02029E8C","mechanical","","30","1","4","0x0202A4BE","0x020048EA|0x020049BE|0x02004ABA|0x02004BC4","","","0"
"0x02029EE4","0x29DC4","0x02029F76","146","FUN_02029EE4","mechanical","","38","3","0","0x0202A128|0x02039648|0x0203EB6E","","","","0"
"0x02029F76","0x29E56","0x02029FF8","130","FUN_02029F76","mechanical","","34","3","0","0x0202A128|0x0203EB6E|0x02069126","","","","0"
"0x02029FF8","0x29ED8","0x0202A128","304","FUN_02029FF8","mechanical","","109","2","1","0x0202A128|0x0203B906","0x0204E5A8","","","0"
"0x0202A128","0x2A008","0x0202A290","360","FUN_0202A128","mechanical","","100","2","4","0x0202A290|0x0203EB6E","0x0200333A|0x02029EE4|0x02029F76|0x02029FF8","","","0"
"0x0202A290","0x2A170","0x0202A30A","122","FUN_0202A290","mechanical","","39","4","1","0x0202A32E|0x0206BF86|0x0206DCBE|0x0207F7A4","0x0202A128","","","0"
"0x0202A30A","0x2A1EA","0x0202A32E","36","FUN_0202A30A","mechanical","","15","1","0","0x0202A32E","","","","0"
"0x0202A32E","0x2A20E","0x0202A466","312","FUN_0202A32E","mechanical","","99","4","3","0x0202A4BE|0x0203CAD4|0x0203E0E2|0x0203E9C6","0x0202A290|0x0202A30A|0x0206694A","","","0"
