"address","offset","partition_end","partition_size","name","confidence","tags","instructions","caller_count","callee_count","callers","callees","string_refs","indirect_string_refs","component"
"0x02053976","0x53856","0x0205399C","38","FUN_02053976","mechanical","","19","1","0","0x020537A6","","","","5"
"0x0205399C","0x5387C","0x020539B2","22","FUN_0205399C","mechanical","","11","1","0","0x020537A6","","","","5"
"0x020539B2","0x53892","0x02053B14","354","FUN_020539B2","mechanical","","115","1","2","0x020537A6","0x02053B14|0x02053B74","","","5"
"0x02053B14","0x539F4","0x02053B74","96","FUN_02053B14","mechanical","","19","1","0","0x020539B2","","","","5"
"0x02053B74","0x53A54","0x02053FD0","1116","FUN_02053B74","mechanical","","221","1","1","0x020539B2","0x02053FD0","","","5"
"0x02053FD0","0x53EB0","0x02055DA4","7636","FUN_02053FD0","mechanical","","3192","1","1","0x02053B74","0x02055DA4","","","5"
"0x02055DA4","0x55C84","0x020567E8","2628","FUN_02055DA4","mechanical","","757","1","1","0x02053FD0","0x020567E8","","","5"
"0x020567E8","0x566C8","0x0205680E","38","FUN_020567E8","mechanical","","15","1","1","0x02055DA4","0x0205680E","","","5"
"0x0205680E","0x566EE","0x02057892","4228","FUN_0205680E","mechanical","","1683","1","0","0x020567E8","","","","5"
"0x02057892","0x57772","0x0205838E","2812","FUN_02057892","mechanical","","1041","1","2","0x02057892","0x02057892|0x0205838E","","","6"
"0x0205838E","0x5826E","0x02058478","234","FUN_0205838E","mechanical","","107","1","2","0x02057892","0x02058478|0x020584B8","","","6"
"0x02058478","0x58358","0x020584B8","64","FUN_02058478","mechanical","","26","1","0","0x0205838E","","","","6"
"0x020584B8","0x58398","0x02058AD6","1566","FUN_020584B8","mechanical","","662","1","0","0x0205838E","","","","6"
"0x02058AD6","0x589B6","0x02058B4C","118","FUN_02058AD6","mechanical","","42","1","1","0x02058B4C","0x02058B4C","","","7"
"0x02058B4C","0x58A2C","0x02058EDA","910","FUN_02058B4C","mechanical","","358","1","1","0x02058AD6","0x02058AD6","","","7"
"0x02058EDA","0x58DBA","0x020590B6","476","FUN_02058EDA","mechanical","","190","1","2","0x02058EDA","0x02058EDA|0x020590B6","","","8"
"0x020590B6","0x58F96","0x020591DA","292","FUN_020590B6","mechanical","","131","1","1","0x02058EDA","0x020591DA","","","8"
"0x020591DA","0x590BA","0x020595B6","988","FUN_020591DA","mechanical","","368","1","0","0x020590B6","","","","8"
"0x020595B6","0x59496","0x02059E1C","2150","FUN_020595B6","mechanical","","933","1","1","0x020595B6","0x020595B6","","","9"
"0x02059E1C","0x59CFC","0x0205A55C","1856","FUN_02059E1C","mechanical","","801","1","2","0x02059E1C","0x02059E1C|0x0205A55C","","","10"
"0x0205A55C","0x5A43C","0x0205C2D2","7542","FUN_0205A55C","mechanical","","2874","1","0","0x02059E1C","","","","10"
"0x0205C2D2","0x5C1B2","0x0205CA7E","1964","FUN_0205C2D2","mechanical","","825","1","2","0x0205C2D2","0x0205C2D2|0x0205CA7E","","","11"
"0x0205CA7E","0x5C95E","0x0205CFE6","1384","FUN_0205CA7E","mechanical","","533","1","0","0x0205C2D2","","","","11"
"0x0205CFE6","0x5CEC6","0x0205E00A","4132","FUN_0205CFE6","mechanical","","1504","1","2","0x0205CFE6","0x0205CFE6|0x0205E00A","","","12"
"0x0205E00A","0x5DEEA","0x0205E040","54","FUN_0205E00A","mechanical","","24","1","0","0x0205CFE6","","","","12"
"0x0205E040","0x5DF20","0x0205E210","464","FUN_0205E040","mechanical","","196","1","2","0x0205E040","0x0205E040|0x0205E210","","","13"
"0x0205E210","0x5E0F0","0x0205E3F0","480","FUN_0205E210","mechanical","","208","1","1","0x0205E040","0x0205E3F0","","","13"
"0x0205E3F0","0x5E2D0","0x0205E60C","540","FUN_0205E3F0","mechanical","","238","1","0","0x0205E210","","","","13"
"0x0205E60C","0x5E4EC","0x020601E4","7128","FUN_0205E60C","mechanical","","2563","1","2","0x0205E60C","0x0205E60C|0x020601E4","","","14"
"0x020601E4","0x600C4","0x02061312","4398","FUN_020601E4","mechanical","","1634","1","0","0x0205E60C","","","","14"
"0x02061312","0x611F2","0x020616DC","970","FUN_02061312","mechanical","","401","1","1","0x02061312","0x02061312","","","15"
"0x020616DC","0x615BC","0x020617B4","216","FUN_020616DC","mechanical","","91","1","2","0x020616DC","0x020616DC|0x020617B4","","","16"
"0x020617B4","0x61694","0x0206220A","2646","FUN_020617B4","mechanical","","1059","1","0","0x020616DC","","","","16"
"0x0206220A","0x620EA","0x02062A02","2040","FUN_0206220A","mechanical","","890","1","1","0x0206220A","0x0206220A","","","17"
