"address","offset","partition_end","partition_size","name","confidence","tags","instructions","caller_count","callee_count","callers","callees","string_refs","indirect_string_refs","component"
"0x0206CF10","0x6CDF0","0x0206CF8C","124","FUN_0206CF10","mechanical","","43","2","1","0x0206CF8C|0x0206D58A","0x0206CEF0","","","0"
"0x0206CF8C","0x6CE6C","0x0206D212","646","FUN_0206CF8C","mechanical","","203","3","10","0x0206DA84|0x0206DB4A|0x0206DECA","0x0206BDE6|0x0206C0AE|0x0206C25A|0x0206C380|0x0206CE68|0x0206CE9A|0x0206CEB4|0x0206CECC|0x0206CF10|0x0207FDEA","","","0"
"0x0206D212","0x6D0F2","0x0206D3AA","408","FUN_0206D212","mechanical","","143","1","14","0x0206FE18","0x0204E4BA|0x0206B926|0x0206B93E|0x0206BABA|0x0206C31C|0x0206C380|0x0206CCA8|0x0206CCE8|0x0206CD44|0x0206CD68|0x0206CD80|0x0206CE1C|0x0206CE24|0x0206CE56","","","0"
"0x0206D3AA","0x6D28A","0x0206D3C0","22","FUN_0206D3AA","mechanical","","7","1","1","0x0206D690","0x0203E9C6","","","0"
"0x0206D3C0","0x6D2A0","0x0206D3CE","14","FUN_0206D3C0","mechanical","","5","1","0","0x0206D690","","","","0"
"0x0206D3CE","0x6D2AE","0x0206D58A","444","FUN_0206D3CE","mechanical","","153","1","2","0x0206D690","0x0206C1C0|0x0206C25A","","","0"
"0x0206D58A","0x6D46A","0x0206D690","262","FUN_0206D58A","mechanical","","91","2","3","0x0206D690|0x0206DB4A","0x0206C25A|0x0206CEF0|0x0206CF10","","","0"
"0x0206D690","0x6D570","0x0206D91C","652","FUN_0206D690","mechanical","","211","5","12","0x0206DC5E|0x0206FFB2|0x020700CC|0x02070426|0x02070470","0x0203E5CE|0x0203EA40|0x0203EA5A|0x0206BDD0|0x0206C956|0x0206CA26|0x0206CB00|0x0206CEB4|0x0206D3AA|0x0206D3C0|0x0206D3CE|0x0206D58A","","","0"
"0x0206D91C","0x6D7FC","0x0206D944","40","FUN_0206D91C","mechanical","","15","2","0","0x0206D9CC|0x0206DB4A","","","","0"
"0x0206D944","0x6D824","0x0206D960","28","FUN_0206D944","mechanical","","9","1","0","0x0206D9CC","","","","0"
"0x0206D960","0x6D840","0x0206D97A","26","FUN_0206D960","mechanical","","11","2","0","0x0206D9CC|0x0206E3D4","","","","0"
"0x0206D97A","0x6D85A","0x0206D988","14","FUN_0206D97A","mechanical","","5","3","1","0x0206D9CC|0x0206DB4A|0x0206DECA","0x0206BE58","","","0"
"0x0206D988","0x6D868","0x0206D9CC","68","FUN_0206D988","mechanical","","25","1","0","0x0206D9CC","","","","0"
"0x0206D9CC","0x6D8AC","0x0206DA84","184","FUN_0206D9CC","mechanical","","76","1","13","0x0206DA84","0x0206B926|0x0206B93E|0x0206BABA|0x0206C31C|0x0206C374|0x0206CD44|0x0206CD68|0x0206CECC|0x0206D91C|0x0206D944|0x0206D960|0x0206D97A|0x0206D988","","","0"
"0x0206DA84","0x6D964","0x0206DAEE","106","FUN_0206DA84","mechanical","","43","1","4","0x0207001E","0x0206CE24|0x0206CE56|0x0206CF8C|0x0206D9CC","","","0"
"0x0206DAEE","0x6D9CE","0x0206DB4A","92","FUN_0206DAEE","mechanical","","37","1","0","0x0206DB4A","","","","0"
"0x0206DB4A","0x6DA2A","0x0206DC5E","276","FUN_0206DB4A","mechanical","","103","1","16","0x02070188","0x0206B926|0x0206B93E|0x0206BABA|0x0206BE58|0x0206C31C|0x0206CD44|0x0206CD68|0x0206CE1C|0x0206CE24|0x0206CE56|0x0206CECC|0x0206CF8C|0x0206D58A|0x0206D91C|0x0206D97A|0x0206DAEE","","","0"
"0x0206DC5E","0x6DB3E","0x0206DCBE","96","FUN_0206DC5E","mechanical","","31","1","3","0x0207068A","0x0203EAAC|0x0206469A|0x0206D690","","","0"
"0x0206DCBE","0x6DB9E","0x0206DD3E","128","FUN_0206DCBE","mechanical","","43","1","10","0x02070710","0x020003B2|0x0202A290|0x0203E444|0x0204E4BA|0x020659F4|0x0206B926|0x0206B93E|0x0206BC72|0x0206BDC4|0x0206BEF4","","","0"
"0x0206DD3E","0x6DC1E","0x0206DE4A","268","FUN_0206DD3E","mechanical","","95","1","5","0x0206DE4A","0x020003B2|0x02040174|0x0204E4BA|0x0204ECF6|0x020659F4","","","0"
